areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02002304,88.7,8.8,2.5
E02002305,88.8,8.3,2.9
E02002306,98.3,1.3,0.4
E02002307,95.4,3.6,1
E02002308,97.1,2.2,0.7
E02002309,82.5,12.5,5.1
E02002310,95.5,3.7,0.8
E02002311,97.7,1.8,0.5
E02002312,85.1,12.2,2.7
E02002313,74.1,16.3,9.6
E02002314,96.6,2.5,0.9
E02002315,96.9,2.3,0.9
E02002316,98.6,1.2,0.2
E02002317,87,9.1,3.9
E02002318,93.1,5.1,1.8
E02002319,99,0.8,0.1
E02002320,97.1,2.4,0.5
E02002321,98.8,1.1,0.1
E02002322,99.3,0.6,0.1
E02002323,99.3,0.5,0.1
E02002324,99.6,0.4,0
E02002325,99.1,0.8,0.1
E02002326,98.9,1,0.1
E02002327,99.2,0.7,0.1
E02002328,99.2,0.7,0.1
E02002329,99.2,0.7,0.1
E02002332,98.7,1,0.3
E02002333,98.8,1,0.1
E02002335,98.3,1.5,0.2
E02002336,98.3,1.4,0.3
E02002337,98.5,1.3,0.2
E02002338,98.4,1.4,0.2
E02002339,97.9,1.9,0.2
E02002340,98.1,1.5,0.4
E02002341,92.5,6.3,1.1
E02002342,95.7,3.3,1
E02002343,98.2,1.4,0.4
E02002344,87.9,10.5,1.6
E02002345,91.9,5.9,2.2
E02002346,92.3,6.2,1.4
E02002347,85.4,11.5,3.1
E02002348,89.8,8.4,1.9
E02002349,94.2,4.9,0.9
E02002350,97.9,1.9,0.2
E02002351,97.2,2.5,0.3
E02002352,91.1,7.3,1.6
E02002353,92.4,6.1,1.6
E02002354,88.3,9.3,2.4
E02002356,96.6,3,0.4
E02002357,95.5,3.7,0.7
E02002358,95.6,3.4,1
E02002360,92.9,5.9,1.3
E02002361,93.4,5.4,1.2
E02002362,91,6.8,2.2
E02002363,94.2,4.9,0.9
E02002364,95.2,4,0.8
E02002366,86.4,9.7,3.8
E02002367,85.2,12,2.9
E02002368,98.6,1.1,0.2
E02002369,88.3,9.6,2.1
E02002370,96.7,2.5,0.8
E02002371,80.3,14.4,5.3
E02002373,94.6,4.5,0.9
E02002374,89.8,8.2,2
E02002375,91.5,7.1,1.4
E02002376,78.5,15.8,5.7
E02002377,67.4,20.9,11.7
E02002379,92.6,6.2,1.1
E02002380,97.5,2.3,0.2
E02002381,97.6,2.1,0.3
E02002382,58.7,27.1,14.1
E02002383,91,6.8,2.2
E02002384,71.1,23.9,5
E02002385,89.4,8.8,1.8
E02002386,98.3,1.4,0.3
E02002387,94.8,4.4,0.8
E02002388,90.7,7.5,1.7
E02002389,81.6,15.1,3.3
E02002390,94.4,4.6,1
E02002391,98,1.7,0.3
E02002392,77.5,19.9,2.6
E02002393,61.5,28.7,9.8
E02002394,71.3,21.6,7.2
E02002395,87.3,9.9,2.9
E02002396,89,8.7,2.3
E02002397,95.9,3.2,0.9
E02002398,97.6,2,0.4
E02002399,90.4,7.7,1.9
E02002400,78,16.5,5.6
E02002401,89.2,8.8,2
E02002402,98,1.8,0.2
E02002404,80.9,16.1,3
E02002405,96.1,3.2,0.7
E02002407,90.3,8,1.7
E02002408,97.3,2.2,0.4
E02002409,95.5,3.6,0.8
E02002410,89.7,8.4,1.9
E02002411,77.5,18.3,4.2
E02002412,95.1,4.1,0.8
E02002414,73.5,19.9,6.6
E02002415,67.7,21.1,11.2
E02002416,98.6,1.1,0.2
E02002419,84.8,12.3,2.9
E02002420,83.2,12.7,4.2
E02002421,88.8,8.8,2.4
E02002422,95.7,3.8,0.6
E02002423,92.7,5.9,1.4
E02002424,97.1,2.3,0.6
E02002425,98.1,1.6,0.3
E02002426,97.5,1.7,0.8
E02002427,97.5,2.1,0.4
E02002428,91.3,7.2,1.5
E02002429,97.6,2,0.4
E02002430,89.8,8.4,1.8
E02002431,94.7,4.7,0.6
E02002433,95.6,3.6,0.8
E02002434,96.1,3.3,0.6
E02002435,96.6,3,0.4
E02002436,98.7,1.1,0.2
E02002437,98.3,1.3,0.3
E02002443,97.4,2.3,0.4
E02002444,96.1,3.4,0.5
E02002445,96.8,2.7,0.5
E02002446,97.8,1.8,0.5
E02002451,98,1.7,0.3
E02002453,89.4,7.7,2.9
E02002454,74.6,17.6,7.7
E02002456,86.1,10,3.9
E02002457,81.5,13.8,4.8
E02002458,98.3,1.4,0.3
E02002459,91.4,6.3,2.3
E02002462,98.4,1.2,0.4
E02002463,90.1,7.8,2.1
E02002465,91.7,6.2,2.1
E02002466,98.8,0.9,0.4
E02002467,78.2,16,5.8
E02002468,98.5,1.3,0.2
E02002469,97.8,1.8,0.4
E02002470,97.3,2.2,0.5
E02002472,99.3,0.6,0.1
E02002473,97,1.7,1.2
E02002474,96.1,3.3,0.7
E02002475,98.7,1.2,0.2
E02002477,97.2,2.3,0.5
E02002574,98.8,0.9,0.2
E02002575,98.6,1.2,0.2
E02002576,97.8,1.8,0.4
E02002577,98.1,1.3,0.6
E02002578,97.1,2.3,0.6
E02002579,97.8,1.7,0.5
E02002580,92.3,5.9,1.8
E02002581,98.4,1.4,0.2
E02002582,97,1.8,1.2
E02002583,96.5,2.6,0.9
E02002584,97.8,1.8,0.4
E02002585,96.6,2.7,0.6
E02002590,97.9,1.8,0.4
E02002591,98.7,1,0.3
E02002592,98.3,1.3,0.3
E02002593,96.4,2.9,0.7
E02002594,94.6,4.4,1
E02002595,91.8,6.9,1.3
E02002596,97.4,1.9,0.7
E02002597,92,6.3,1.7
E02002598,94.5,4.7,0.8
E02002599,94.5,4.8,0.7
E02002600,91.4,6.7,2
E02002601,98,1.5,0.4
E02002602,82.2,14.6,3.2
E02002603,97.9,1.4,0.7
E02002604,98.1,1.4,0.4
E02002605,96.6,2.7,0.7
E02002606,84.2,13,2.8
E02002607,86.4,11.2,2.4
E02002608,98.8,1,0.2
E02002609,92.6,6.2,1.2
E02002610,98.2,1.6,0.3
E02002611,98.8,1.1,0.1
E02002612,98,1.7,0.3
E02002613,98.5,1.4,0.1
E02002614,98,1.8,0.2
E02002615,91.2,6.4,2.4
E02002616,85.7,10.3,4
E02002617,73.6,16.2,10.2
E02002618,74.5,16.2,9.3
E02002619,77.2,14.5,8.3
E02002620,76.5,15.5,8
E02002621,71,17.7,11.3
E02002622,81.8,12.7,5.5
E02002623,88.7,7.8,3.4
E02002624,97.5,1.8,0.8
E02002625,90.3,7.6,2
E02002626,96.9,2.5,0.6
E02002627,98,1.7,0.3
E02002628,97.4,1.9,0.7
E02002629,93.9,4.2,1.8
E02002630,96.2,2.4,1.4
E02002631,98.7,1.1,0.2
E02002632,99.3,0.5,0.1
E02003853,98.9,0.9,0.2
E02003854,98.5,1.3,0.2
E02003855,98.9,1,0.1
E02003856,93.9,5.4,0.7
E02003857,95,4.1,1
E02004093,99.1,0.7,0.2
E02004094,99.3,0.6,0.1
E02004095,98.6,1.2,0.2
E02004096,99,0.9,0.1
E02004097,98.6,1.1,0.3
E02004098,98.8,1,0.2
E02005176,95.9,3.1,1.1
E02005177,80.6,12.9,6.5
E02005178,66.1,20.5,13.4
E02005179,98.5,1.2,0.3
E02005180,98.6,1.2,0.2
E02005181,97.6,1.7,0.7
E02005182,87.7,8.3,4
E02005183,98.3,1.3,0.4
E02005184,99.6,0.3,0.1
E02005185,89.4,7.9,2.7
E02005186,99.1,0.7,0.2
E02005189,93.3,5.1,1.6
E02005190,99.5,0.5,0.1
E02005191,98.5,1.2,0.3
E02005192,98.5,1.3,0.2
E02005193,98.7,1,0.2
E02005194,97.1,2.3,0.6
E02005195,98.5,1.1,0.4
E02005196,97.5,2.1,0.4
E02005197,94.8,4,1.2
E02005198,96.9,2.3,0.9
E02005199,99.3,0.5,0.1
E02005200,97.1,2.2,0.7
E02005201,98.9,0.8,0.3
E02005202,99.1,0.8,0.2
E02005212,96.2,2.4,1.4
E02005213,97.7,1.8,0.5
E02005214,98.3,1.4,0.4
E02005215,94.9,3.6,1.5
E02005216,94,4.4,1.6
E02005217,80.5,12.4,7.1
E02005218,97.9,1.6,0.5
E02005219,95.7,3,1.3
E02005220,98.7,1,0.3
E02005221,98.7,1,0.3
E02005222,99,0.8,0.2
E02005223,99.3,0.6,0.1
E02005225,98.7,1.2,0.1
E02005231,94.9,3.7,1.4
E02005233,93.8,5.4,0.7
E02005234,85,13.4,1.6
E02005235,90,8.5,1.5
E02005237,93.6,5.3,1.1
E02005238,93,5.4,1.6
E02005239,89.5,9.8,0.8
E02005240,96.3,2.7,1
E02005241,95.7,3.1,1.1
E02005242,98.7,1.1,0.2
E02005245,99.4,0.5,0.1
E02005246,95.9,2.7,1.5
E02005247,98.5,1,0.5
E02005248,72.7,16.1,11.2
E02005249,70.9,18.1,11
E02005250,68.8,18.5,12.7
E02005251,89.6,7.3,3.2
E02005252,82.8,10.6,6.6
E02005253,98.6,1.2,0.2
E02005254,96.3,3.4,0.3
E02005255,92.1,6.6,1.3
E02005256,92.6,6.6,0.8
E02005257,92.6,6.3,1
E02005258,91.8,6.8,1.5
E02005259,89.9,8,2.1
E02005260,96,3.2,0.8
E02005261,89,8.7,2.4
E02005262,95.2,3.8,1
E02005263,75.2,19.2,5.6
E02005264,86.5,11.2,2.3
E02005265,94.2,4.9,0.9
E02005266,73.1,19.2,7.7
E02005267,72.9,20.1,7
E02005268,75.7,17,7.3
