geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00183726,14,28.1,57.9
E00183727,15.6,30.5,53.9
E00183728,12.3,28.1,59.6
E00183729,39.2,28.9,32
E00183731,8,36,56
E00183750,8.1,49.6,42.3
E00183751,21.4,16.5,62.1
E00183752,24.2,32.2,43.6
E00183767,14.2,32.1,53.7
E00183769,21.2,31.1,47.7
E00183776,25.4,41.4,33.1
E00183784,17.5,19.6,62.9
E00183788,6.5,31.5,62.1
E00183789,20.8,21.5,57.7
E00183790,14.1,15.6,70.3
E00183791,10.6,34.1,55.3
E00183794,20,21.6,58.4
E00183795,30.6,17.4,52.1
E00183800,14.4,22,63.6
E00183805,15.9,24.1,60
E00183807,6.5,45.4,48.1
E00183814,16.9,23.1,60
E00183817,33.3,18.7,48
E00183821,14.2,29,56.8
E00183822,25.3,20.4,54.3
E00183825,18.9,23,58.1
E00183830,19.8,17.4,62.8
E00183833,18.3,31.2,50.5
E00183835,14.1,22.8,63
E00183836,29.2,34.5,36.3
E00183837,13.2,26.4,60.3
E00183840,19.2,36.8,44
E00183841,16.2,39.6,44.1
E00183842,10.7,25.2,64.1
E00183843,17,31.9,51.1
E00183849,17.1,35.8,47.2
E00183851,18.4,40.4,41.2
E00183854,14.3,33.6,52.1
E00183863,27.9,28.8,43.2
E00183864,13.6,17.5,68.9
E00183865,25.5,12.8,61.7
E00183869,24.4,26.9,48.7
E00183874,5.7,30.5,63.8
E00183880,24.1,20.9,55.1
E00183883,17.1,23.2,59.8
E00183885,16.2,29.5,54.3
E00183887,21.6,23.1,55.2
E00183892,10,30,60
E00183896,11.2,20,68.8
E00183897,13.3,31.1,55.6
E00183900,6.3,33,60.7
E00183902,19.7,19.7,60.6
E00183905,21,24.7,54.3
E00183908,19.4,22.2,58.3
E00183915,14.5,25.6,59.8
E00183919,11.5,21.8,66.7
E00183922,5.2,29.7,65.2
E00183923,20.2,36.3,43.5
E00183928,16.8,25.9,57.3
E00183932,7.1,17.6,75.3
E00183933,14.4,35.3,50.4
E00183935,19.3,31.2,49.5
E00183936,15.4,31.4,53.2
E00183942,12.9,43.5,43.5
E00183946,18.2,29.5,52.3
E00183950,19.2,29.3,51.5
E00183951,6.5,17.9,75.6
E00183953,33.9,16.1,50
E00183954,40.7,18.6,40.7
E00183960,5.2,45,49.8
E00183973,21.7,36.4,42
E00183975,22.4,8.4,69.2
E00183982,20,33,47
E00183985,9,29.5,61.5
E00183986,18.1,31.9,50
E00183987,29.6,28.6,41.8
E00183989,43.3,20.6,36.1
E00183992,9.9,17.1,73
E00183998,22.2,26.1,51.6
E00184001,19.2,28.1,52.7
E00184007,7,56.3,36.7
E00184013,11.3,29.1,59.6
E00184014,13.8,36.9,49.2
E00184015,13.7,25.2,61.1
E00184017,12,28,60
E00184019,20.7,15.3,64
E00184021,30.8,25.3,44
E00184022,12,33.6,54.4
E00184024,18.2,21.6,60.1
E00184028,9.8,31.7,58.5
E00184036,6.7,41.1,52.2
E00184039,19.3,20.7,60
E00184041,15.4,30.1,54.5
E00184042,21.6,19.4,59
E00184044,17.1,25,57.9
E00184047,29.5,22.1,48.4
E00184051,31.5,31.5,37
E00184057,11.4,44.3,44.3
E00184060,11.2,41.1,47.7
E00184062,29.9,35.8,34.3
E00184063,28.9,24.8,46.3
E00184065,26,22.9,51
E00184066,29.2,35.4,35.4
E00184068,13.9,59.7,26.4
E00184072,15.1,21.9,63
E00184077,11.2,20.7,68.1
E00184079,18.4,28.7,52.9
E00184088,10.1,46.5,43.4
E00184095,20.9,23.5,55.7
E00184102,19.4,23.9,56.7
E00184104,14,29.4,56.6
E00184107,21.4,39.3,39.3
E00184108,6,19.5,74.4
E00184110,9,30.8,60.3
E00184114,16.8,34.3,49
E00184119,21.8,21,57.1
E00184121,19.4,44.8,35.8
E00184125,14.6,20.8,64.6
E00184126,14.2,12.5,73.3
E00184128,19.7,32.5,47.9
E00184134,9.8,20.5,69.7
