areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00091739,10.1,39.9,26.6,23.4
E00091740,8.3,21.1,52.6,18
E00091741,5.3,13.7,71.8,9.2
E00091742,10,27.1,60,2.9
E00091743,6.3,29.6,43.4,20.8
E00091744,7,42.2,42.2,8.6
E00091745,9.6,46.6,28.1,15.8
E00091746,7.6,16.9,59.3,16.1
E00091747,10.4,33.3,35.6,20.7
E00091749,36.9,29.8,27.4,6
E00091750,0.8,5.9,15.1,78.2
E00091751,0,4,12.1,83.9
E00091752,0,0,44.4,55.6
E00091753,0,2.2,61.2,36.6
E00091754,1.6,30.2,60.3,7.9
E00091755,3.1,29.5,54.3,13.2
E00091756,5.6,30.6,52.4,11.3
E00091757,2.9,18.1,71,8
E00091758,5.8,21.5,61.2,11.6
E00091759,28.8,29.4,31.9,10
E00091760,5.7,29.3,56.9,8.1
E00091761,8.4,26,41.6,24
E00091763,36.7,37.4,18.7,7.2
E00091764,5,16.4,55,23.6
E00091765,61.1,28.6,5.7,4.6
E00091766,1.6,25.6,65.1,7.8
E00091767,38.1,30.5,24.6,6.8
E00091923,1,17.5,40.2,41.2
E00091936,0,16.2,46.1,37.7
E00091937,2.1,20.8,33.3,43.8
E00091938,0.8,12.4,39.7,47.1
E00091939,23.8,34.4,24.6,17.2
E00091940,1.6,11.1,69.8,17.5
E00091941,3.6,26.5,28.9,41
E00091942,0,65.9,19.5,14.6
E00091943,7.9,15.7,62.1,14.3
E00091944,2.3,28.1,32,37.5
E00091945,1.6,9.5,55.6,33.3
E00091946,2.6,8.6,24.1,64.7
E00091947,1.8,9,68.5,20.7
E00091948,2.9,27.6,46.7,22.9
E00091949,1.7,11.2,29.3,57.8
E00091950,1.6,20.8,37.6,40
E00091951,2.4,14.3,40.5,42.9
E00091952,3.3,19.9,25.8,51
E00091953,14.5,63.2,15.8,6.6
E00091954,8.5,35.3,25.5,30.6
E00091957,2.8,35.2,38.7,23.2
E00091958,1.4,14.8,17.6,66.2
E00091960,0.8,12.2,33.3,53.7
E00091962,0,15.9,31.7,52.4
E00091963,5.8,20.2,33.5,40.5
E00091965,0,8.8,35.7,55.6
E00091966,2.6,16.3,37.4,43.7
E00091967,1,11.2,23.5,64.3
E00091968,3.8,14.3,43.8,38.1
E00091969,2.6,19.7,26.5,51.3
E00092032,3,25.9,34.9,36.1
E00092033,3.5,5.9,36.5,54.1
E00092034,3.4,15.2,39.3,42.1
E00092035,9.7,23.9,26.9,39.6
E00092036,6.9,32.3,31.7,29.1
E00092037,0,34.9,41.1,24
E00092038,0.7,16.9,35.8,46.6
E00092039,0.8,28.7,41.1,29.5
E00092040,6.6,30.1,42.2,21.1
E00092041,2.8,21.1,39.4,36.6
E00092042,0,15.3,82.6,2.1
E00092043,0.7,19.7,61.2,18.4
E00092044,27.9,24.3,33.1,14.7
E00092045,3.8,17.5,31.3,47.5
E00092046,8.3,14.4,42.4,34.8
E00092047,4.8,22.6,44,28.6
E00092074,3.2,16,27.7,53.2
E00092176,1.9,14.6,17.5,66
E00092177,8.1,32.3,34.7,25
E00092178,13.5,29,38.1,19.4
E00092179,0.8,8.3,27.5,63.3
E00092180,0.9,13.2,38.6,47.4
E00092182,3.9,27.1,23.9,45.2
E00092183,4.3,17.4,33.3,44.9
E00092184,4.5,24.1,30.4,41.1
E00092188,5.2,12.1,32.8,50
E00092189,4.1,43.3,22.2,30.4
E00092190,0,12.3,21.7,65.9
E00092193,1.5,41.6,45.2,11.7
E00092194,0.7,12.4,24.1,62.8
E00092246,1.6,6.5,33.9,58.1
E00092247,1.7,24.2,46.7,27.5
E00092248,3.1,13.8,23.1,60
E00092249,8.5,17.6,32.4,41.5
E00092250,2.4,13.9,38.2,45.5
E00092251,1.1,9.5,46.3,43.2
E00092252,10.7,42.7,37.3,9.3
E00092253,2,10.7,38.9,48.3
E00092254,0,13.5,37.8,48.6
E00120132,0,28.5,63.1,8.5
E00120134,9.6,20.9,43.5,25.9
E00120135,27.3,30.3,25,17.4
E00120142,2.5,26.4,46.6,24.5
E00120143,1.2,28.4,48.8,21.6
E00120155,4.3,20.7,69.3,5.7
E00120157,0.9,1.7,71.8,25.6
E00120158,0.8,13.6,62.4,23.2
E00120160,4.3,16.8,66.3,12.5
E00120161,23.7,33.6,38.9,3.8
E00120162,0.9,6.2,63.7,29.2
E00120163,30.9,20,46.9,2.3
E00120164,0,2.4,53.5,44.1
E00120165,0,8.5,71.5,20
E00120166,12.8,23.8,39,24.4
E00120167,13.4,27.5,41.6,17.4
E00120168,29.6,53.5,15.7,1.3
E00120169,19.9,40.4,21.2,18.5
E00169668,0,23.2,44.8,32
E00169669,1,42.9,24.8,31.4
E00169670,1.8,34.5,39.1,24.5
E00169671,0.8,9.4,41.7,48
E00170791,38.2,37.3,18.2,6.4
E00170792,1.7,40.5,29.3,28.4
E00170793,5,17,22.7,55.3
E00170794,7.8,36.5,27.8,27.8
E00170799,1.8,32.5,30.7,35.1
E00170800,17.1,49.6,24.4,8.9
E00170801,3.4,12.9,35.3,48.3
E00170802,0,24.2,25,50.8
E00170803,0,24.7,32.2,43.2
E00170804,0.9,29.9,46.2,23.1
E00170805,5.3,25.7,45.1,23.9
E00170806,2.4,12.2,52.8,32.5
E00170807,3.6,15.7,18.6,62.1
E00170808,6.7,16.7,38.3,38.3
E00170810,5.4,11.5,23.8,59.2
E00170811,6.3,27,50.5,16.2
E00170813,4.6,30.1,44.4,20.8
E00170814,5.8,17.3,27.3,49.6
E00170815,4.1,25.4,36.9,33.6
E00170816,6.6,25.4,23,45.1
E00170817,15.2,24,36.8,24
E00170818,3.5,14,41.2,41.2
E00170819,5.7,18.2,18.2,58
E00170820,8.2,28.7,32,31.1
E00170833,10.7,17.6,29.8,42
E00170834,10.1,16.8,35.6,37.6
E00170835,2.8,10.3,25.2,61.7
E00170836,0.8,19.5,16.9,62.7
E00170837,0,29.5,53.8,16.7
E00173812,4.8,31.5,17.6,46.1
E00173813,2.7,40.1,21.1,36.1
E00173816,3.5,53,13.9,29.6
E00173817,0.9,18.9,27,53.2
E00173819,0,12.4,38.9,48.7
E00173820,5,15,43,37
E00173821,10.1,28.1,38.8,23
E00173822,0.5,29.5,16.1,53.9
E00177035,27.3,37.8,29.4,5.6
E00177037,3.7,18.3,26.6,51.4
E00177038,3,31.8,54.5,10.6
E00177039,7.9,5.3,36.8,50
E00177041,13.3,34.3,33.3,19
E00177045,18.3,33.8,28.2,19.7
E00177051,3.3,24.6,28.7,43.4
E00177052,0.7,22.2,36.3,40.7
E00177055,1,15.5,40.8,42.7
E00177059,1.2,4.7,43.5,50.6
E00177060,0,16,38.7,45.3
E00177064,0,16.9,36.1,47
E00177091,7.4,47.1,19,26.4
E00177094,3.4,19,50,27.6
E00177098,5.4,17.6,48.2,28.8
E00177119,0,28.8,38.5,32.7
E00177138,9.8,17.9,32.1,40.2
E00177168,13,32.8,19.1,35.1
E00177171,6.5,19.6,43.9,29.9
E00177174,17.4,50,19.6,13
