areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00023821,12.7,3.8,4.5,70.7,8.3
E00023822,12.5,1.9,6.3,65.9,13.5
E00023823,15.9,0,8.7,71.3,4.1
E00023824,11.6,2.4,6.8,71.7,7.6
E00023825,11.9,0.8,5.6,77,4.8
E00023826,15.6,3.9,5.9,72.2,2.4
E00023827,11.2,2.1,7.4,72.9,6.4
E00023828,13.7,2,4.8,72.2,7.3
E00023829,16.8,4,2.4,75.2,1.6
E00023830,25.9,1.8,3.6,62.7,5.9
E00023831,8.7,0,8.7,76.4,6.3
E00023832,15.6,0,6.1,68.3,10
E00023833,13.9,1.5,6.2,74.2,4.1
E00023834,6.4,8.2,15.8,41.9,27.8
E00023835,24.3,0.7,4.2,66,4.9
E00023836,9.5,1.5,4.5,78.4,6.1
E00023837,13.3,4,2.7,72,8
E00023838,12,4.8,5.8,67,10.3
E00023839,20,0.7,5.2,63.3,10.7
E00023840,13,1.7,6.1,71.3,7.8
E00023841,3.6,0.9,2.7,85.3,7.6
E00023842,1.3,1.8,4.4,87.2,5.3
E00023843,6.3,0.5,3.4,82.2,7.7
E00023844,13.7,1.2,3.1,80.1,1.9
E00023845,21,4.8,9.6,56.8,7.7
E00023846,12.2,7.9,6.1,63.3,10.4
E00023847,20.6,5.9,3.9,66.7,2.9
E00023848,14.2,2.2,5.5,73.2,4.9
E00023880,16.5,0.5,4.1,63.4,15.5
E00023881,11.5,3,5.6,73.4,6.6
E00023883,15.2,14.6,8.6,30.1,31.5
E00023884,26.6,4.5,7.1,55.8,5.8
E00023885,20.8,2.7,4.4,54.9,17.3
E00023886,14.1,3.6,3.9,59.5,19
E00023887,18.5,2.5,7,59,13
E00023888,31.4,3.6,6.8,43,15.2
E00023889,12.6,4.7,9.1,57.7,15.8
E00023890,23.5,1.2,3.1,67.3,5
E00023891,24.6,1.5,0.6,61.5,11.7
E00023892,11.4,19.1,8.1,52.1,9.3
E00023893,6.3,0,3.8,86.3,3.6
E00023894,28.1,0,3.9,56.2,11.8
E00023895,18.8,2.6,7.3,63.4,7.9
E00023896,34.7,8.7,3.5,46.8,6.4
E00023899,31.9,6.4,5.3,38.3,18.1
E00023902,30.7,7.8,2.1,41.7,17.7
E00023903,31.9,6.9,3.1,36.9,21.3
E00023904,28.7,5.2,5.7,44.8,15.5
E00023907,15.9,3.7,5.7,60.4,14.3
E00023909,14.9,6.3,4,63.2,11.5
E00023910,35.2,5.7,4.9,42.4,11.7
E00023912,13.6,17.6,2.4,54,12.4
E00023916,27.8,4,6.6,51,10.6
E00023917,14.6,11,4.5,54.1,15.9
E00023919,34.6,0,2.4,48.6,14.4
E00023920,32.5,2.5,7.5,55,2.5
E00023921,19.7,1.1,3.9,68.5,6.7
E00023924,19.4,3.9,4.5,53.5,18.7
E00023925,22.7,10.1,3.4,51.7,12.1
E00024108,13.7,29.8,3.1,39.7,13.7
E00024112,5,0.7,2.9,90.6,0.7
E00024115,17.9,5.1,7.1,61.5,8.3
E00024116,21.4,4.6,5.2,59,9.8
E00024117,13.7,2.1,8.4,60,15.8
E00024121,28.9,7.5,4.2,46.4,13
E00024122,34.1,14.2,3.8,43.3,4.6
E00024123,6.5,15.1,5.4,60,13
E00024124,21.6,2.7,4.9,67,3.8
E00024125,13.4,0,7.3,71.3,7.9
E00024126,9.6,7.1,5.1,72.2,6.1
E00024128,19,2.1,4.6,65.8,8.4
E00024129,9.8,0,1.5,77.9,10.8
