geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00046840,2.3,17.1,79.1,1.6
E00046841,0.9,9,82.9,7.2
E00046842,0.7,14.2,81.1,4.1
E00046843,0.8,25,69.2,5
E00046845,19.1,14.8,51.3,14.8
E00046846,0.8,25.2,71,3.1
E00046847,0,17.4,80.9,1.7
E00046848,47.3,2.2,32.3,18.3
E00046849,14.4,8.5,71.2,5.9
E00046850,13.6,16,65.6,4.8
E00046851,0,19,77.8,3.2
E00046852,20.2,17.2,51.5,11.1
E00046853,6.1,7.4,57.4,29.1
E00046854,0.7,24.6,69.4,5.2
E00046855,15.7,32.3,48.1,3.8
E00046856,2.9,8,80.4,8.7
E00046857,0.8,7.6,87.9,3.8
E00046858,0,7,87.8,5.2
E00046859,3.2,8.1,84.7,4
E00046860,0,11.4,76.4,12.2
E00046861,1.6,9.8,82,6.6
E00046862,0.8,37.8,54.6,6.7
E00046863,0,43.2,52.3,4.5
E00046864,0,10,84.2,5.8
E00046865,3.3,5,63.6,28.1
E00046866,0,2.7,76.8,20.5
E00046867,0,7.2,78.4,14.4
E00046868,0,6.1,81.6,12.2
E00046869,13.2,23,48,15.8
E00046870,1.5,33.8,43.8,20.8
E00046871,0.9,9.6,74.6,14.9
E00046873,2.3,6.2,58.5,33.1
E00046874,1.4,4.1,69.2,25.3
E00046903,3.5,24.6,54.9,16.9
E00046904,0,4.4,81.6,14
E00046979,0,2.1,50.7,47.2
E00046990,7.4,5.9,49.6,37
E00046993,0,2,63.7,34.3
E00046998,0,3,53,43.9
E00047001,14.2,1.6,37,47.2
E00047002,3.4,4.1,54.7,37.8
E00047003,3.1,7.7,40.8,48.5
E00047005,73.2,23.6,1.6,1.6
E00047007,0.9,11.4,47.4,40.4
E00047010,45.7,28.3,11.8,14.2
E00047011,84.8,10.8,4,0.4
E00047012,21.4,32.5,35.9,10.3
E00047014,32.7,8.4,13.1,45.8
E00047016,1,5.2,62.9,30.9
E00047017,82.6,11.2,6.2,0
E00047019,23.1,12.5,63.8,0.6
E00047021,25,52.4,11.3,11.3
E00047025,12.4,16.4,33.3,37.9
E00047026,40.7,17.9,12.1,29.3
E00047035,6.4,3.5,47.5,42.6
E00047041,32.8,14.6,9.5,43.1
E00047051,19.1,22.7,34,24.1
E00047055,5.5,32.7,42.7,19.1
E00047372,12.4,28.1,47.1,12.4
E00047373,39.3,16.7,35.7,8.3
E00047376,13.8,22.3,30.8,33.1
E00047380,34.1,29.7,20.3,15.9
E00047381,14.9,21.3,50.5,13.4
E00047382,3,6.7,62.8,27.4
E00047389,7,48.7,29.6,14.6
E00047390,1.4,26,58.9,13.7
E00047391,9.3,25.6,51.9,13.2
E00047392,13.1,34,47.1,5.9
E00047393,20.9,13.7,53.2,12.2
