geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00010008,22.5,3.6,68.9,5
E00010009,17.7,9.2,63.1,10
E00010010,21.2,12.1,59.8,6.8
E00010011,21.5,2.2,71.9,4.4
E00010012,17.8,6.1,73,3.1
E00010013,23.3,6.2,65.1,5.4
E00010014,18.8,5.2,70.8,5.2
E00010015,31.7,9,51.7,7.6
E00010016,19.3,11.2,59,10.6
E00010017,29,3.6,57,10.4
E00010018,31.8,5.9,51.4,10.9
E00010019,19.2,14.4,52.7,13.7
E00010021,31.4,16.5,39.7,12.4
E00010022,34.3,8.9,42,14.8
E00010023,29.5,8.9,45.2,16.4
E00010024,21.4,5.7,67.9,5
E00010026,23.2,9.7,55.3,11.8
E00010027,41.7,13.9,27.8,16.7
E00010029,28.9,6.6,43.4,21.1
E00010030,28.1,4.6,56.1,11.2
E00010032,23.4,12.3,53.8,10.5
E00010033,22.3,8.9,52,16.7
E00010035,29.2,9.5,45.6,15.7
E00010036,40.5,12.1,26.8,20.5
E00010037,28.6,8.1,45.7,17.6
E00010038,41.2,6.2,38.9,13.7
E00010039,46.4,9.3,23.2,21.2
E00010041,30.4,7.6,52.4,9.6
E00010042,29,6.1,52.3,12.6
E00010043,35.3,6.4,49,9.3
E00010044,26.2,12.3,52.8,8.7
E00010045,29.1,9.5,47.1,14.3
E00010046,40,8.5,33.3,18.2
E00010047,29.2,9.7,46.7,14.4
E00010048,24.7,9.5,52.6,13.2
E00010049,27.2,13,47.1,12.7
E00010050,24.3,4.7,56.1,14.9
E00010051,28.6,7.5,56.5,7.5
E00010052,29.9,6,56,8.2
E00010053,31,4.7,52,12.3
E00010054,33.1,5.6,51,10.4
E00010055,40.6,6.8,39.1,13.5
E00010056,21.4,5.8,55.9,16.9
E00010057,23.2,5.7,60.8,10.3
E00010058,34.3,5.4,50,10.2
E00010059,29.7,4.9,51.6,13.7
E00010060,38.1,7.8,36.2,17.9
E00010061,31.8,3.9,54.2,10.1
E00010062,26.2,2.7,60.1,10.9
E00010064,20.9,3.3,72.5,3.3
E00010065,17.4,4.3,73.3,5
E00010066,19.9,2.9,73.7,3.5
E00010067,23.1,6.5,63.9,6.5
E00010068,21.3,2.8,68.8,7.1
E00010069,25.2,4.5,60.4,9.9
E00010070,35.2,4.1,54.9,5.7
E00010071,24.9,4.3,65.9,4.9
E00010072,31.9,5,52.9,10.1
E00010073,26.8,4.5,62.5,6.3
E00010074,22.2,0.6,69,8.2
E00010075,20.1,2,71.1,6.7
E00010076,18.7,4.7,71.3,5.3
E00010077,33.8,7.7,48.6,9.9
E00010078,20.2,4.6,72.5,2.8
E00010079,22.5,3.8,70.6,3.1
E00010080,26.7,2.7,64.4,6.2
