areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00092722,34.4,28.7,14.8,22.1
E00092723,30.7,35.7,17.9,15.7
E00092724,44.1,32.2,11,12.7
E00092725,36.1,40.3,12.6,10.9
E00092726,41.6,22.3,16.3,19.9
E00092727,23.7,33.3,20.2,22.8
E00092728,25.2,40.9,16.5,17.3
E00092729,27.7,45.5,10.7,16.1
E00092730,36.1,31.9,18.5,13.4
E00092731,37.8,32.9,16.1,13.3
E00092732,44.4,34,13.1,8.5
E00092733,53.5,22.5,5.6,18.3
E00092734,35.9,26.8,13.7,23.5
E00092735,33.6,44.5,12.7,9.1
E00092736,27.3,29.7,17.2,25.8
E00092737,29.4,37,16.8,16.8
E00092738,24,34.7,14.9,26.4
E00092739,26.6,17.4,26.6,29.4
E00092740,30.4,33,11.3,25.2
E00092741,80.7,18.4,0,0.9
E00092742,17.1,35.8,20.3,26.8
E00092743,36.4,32.2,14,17.4
E00092744,31.4,24.6,21.2,22.9
E00092745,29.3,42.3,15.4,13
E00092746,22.3,34.7,16.5,26.4
E00092747,28.3,30.2,20.8,20.8
E00092748,37.7,31.5,15.1,15.8
E00092749,32.8,35.2,16.4,15.6
E00092750,21.8,29.3,17.3,31.6
E00092751,21.5,34.3,18.6,25.6
E00092752,27.9,35.7,13.6,22.9
E00092754,17.7,43.8,14.6,23.8
E00092756,30.4,42.2,14.8,12.6
E00168824,19.2,25,13.5,42.3
E00168825,35.5,19,12.4,33.1
E00168826,65,28.4,4.9,1.6
E00168827,57.3,38,3.8,0.9
E00168828,47.8,45.6,5.9,0.7
E00168829,49.5,38,7,5.5
E00168830,57.9,35.5,4.1,2.5
E00168831,59.5,38.9,0,1.6
E00168832,48.9,39,7.1,5
E00168833,45.2,38.4,9.6,6.8
E00168834,41.5,46.7,8.1,3.7
E00168835,52.7,37,6,4.3
E00168836,39,40.2,14.6,6.1
E00168837,59.1,31.8,5.7,3.4
E00188753,40.7,22.2,20.4,16.7
E00188755,29.2,37,17.5,16.2
E00188764,9.6,34.8,24.3,31.3
E00188778,18.7,35,23.6,22.8
E00188780,19.4,33.1,24.2,23.4
E00188782,58.3,28.3,8.7,4.7
E00188785,21.7,37.7,29,11.6
E00188811,40,36.8,9,14.2
E00188816,76.8,22.6,0,0.6
E00188825,35.7,47,13.9,3.5
E00188836,53.6,29.7,9.4,7.2
E00188837,17.7,27.4,23,31.9
E00188838,18.7,19.5,23.6,38.2
E00188846,22.6,34.9,16,26.4
E00188848,28.1,39.1,10.9,21.9
E00188850,58,32.7,6.7,2.7
E00188854,62.5,30.1,5.9,1.5
E00188876,23.7,40.5,17.6,18.3
E00188880,19.3,34.2,28.1,18.4
E00188881,32.8,43.4,12.3,11.5
E00188889,19.4,44.8,19.4,16.4
E00188895,28.4,38.2,19.6,13.7
E00188899,8.4,23.5,23.5,44.5
E00188901,69.6,20.8,7.2,2.4
E00188903,19.1,36.2,14.9,29.8
E00188909,19.2,36.8,27.2,16.8
E00188910,41.6,42.9,2.6,13
E00188924,72.7,18.2,7.6,1.5
E00188928,18.2,27.3,19.8,34.7
W00001370,38.1,32.5,17.5,11.9
W00001374,28.8,39.2,15.2,16.8
W00001375,26.1,40.1,16.6,17.2
W00001382,30.6,41.4,16.2,11.7
W00001384,35.9,36.6,19.8,7.6
W00001385,27.3,38.3,20.3,14.1
W00001386,32,38.4,20,9.6
W00001767,27.8,33.9,15.7,22.6
W00001768,29.5,36.4,20.2,14
W00001769,34.5,37.6,18.8,9.1
W00001770,26.8,31,25.4,16.9
W00001771,23.9,44.8,17.2,14.2
W00001772,23.5,26.5,28.8,21.2
W00001773,52.9,30,12.1,5
W00001774,24.8,42.1,15.7,17.4
W00001775,34,39.6,14.6,11.8
W00001776,30.7,34.2,15.8,19.3
W00001777,27.8,26.3,24.1,21.8
W00001779,21.6,33.6,18.1,26.7
W00001780,25.4,41,22.1,11.5
W00001781,23.1,33.1,15.7,28.1
W00001782,24.1,45.9,16.5,13.5
W00001788,18.2,38.7,16.6,26.5
W00010469,30.6,38.1,18.8,12.5
W00010475,30.2,41.7,15.6,12.5
W00010483,14.4,31.4,26.1,28.2
W00010486,19.1,45.7,22.3,12.8
W00010491,22.3,40.3,20.9,16.5
