areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00105089,46.9,1.9,51.2
E00105090,59.9,2,38.1
E00105091,50.7,2.1,47.2
E00105092,52.2,2.9,44.9
E00105093,60.7,1.9,37.4
E00105096,51.7,1.1,47.1
E00105098,52.9,1.2,45.9
E00105099,51.9,2.8,45.4
E00105106,54.5,1.6,43.9
E00105107,56.7,2.4,40.8
E00105108,53.1,0.8,46.1
E00105115,64.6,3.9,31.6
E00105116,47.8,6.1,46.1
E00105117,60.3,1.3,38.4
E00105119,53.9,6.2,39.9
E00105121,59.1,4.4,36.5
E00105122,43.4,1,55.6
E00105123,59.4,3.2,37.4
E00105124,45.7,5.9,48.4
E00105125,32.7,7.5,59.8
E00105126,41.3,2.9,55.8
E00171856,70.1,0.7,29.3
E00171870,47.4,2.2,50.4
E00183223,63.8,3.8,32.4
E00183226,83,1.8,15.2
E00183227,82.3,3.2,14.5
E00183232,74.6,3.4,22
E00183242,40.2,0,59.8
E00183252,87.2,0,12.8
E00183255,34.9,7.3,57.8
E00183259,63.4,3.6,33
E00183260,71.3,2.8,25.9
E00183263,55.1,2.2,42.7
E00183264,79.4,1.6,19
E00183273,26.9,2.3,70.7
E00183277,52.2,2.6,45.2
E00183279,73.5,2.7,23.8
E00183293,49.8,1.5,48.7
E00183295,18.2,5.5,76.4
E00183301,85.2,1.3,13.6
E00183313,76,3.8,20.2
