geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00065158,84.4,6.4,2.5,3.9,2.7
E00065159,74.4,9.7,10,4,1.9
E00065161,82.7,6.1,7.1,1.5,2.5
E00065162,60.9,8.6,10.2,7.9,12.5
E00065164,76.1,11.6,9,2.1,1.2
E00065165,74.8,6.6,12.8,4.4,1.5
E00065166,79.7,7.3,6.3,4.4,2.2
E00065167,97.7,2.3,0,0,0
E00065168,95,1.8,1.4,1.1,0.7
E00065169,95.1,2.2,0.4,2.2,0
E00065170,97,2.2,0,0.6,0.3
E00065171,97.2,2.2,0.6,0,0
E00065172,97.6,2.2,0.3,0,0
E00065173,95.7,3.3,1,0,0
E00065174,98.6,1.4,0,0,0
E00065175,91.3,5,3.7,0,0
E00065176,97.5,2.5,0,0,0
E00065177,97.8,1.9,0,0,0.4
E00065178,93.7,6.3,0,0,0
E00065179,92.5,3.9,2.4,0.9,0.3
E00065180,86.2,9.2,3.4,0.7,0.5
E00065182,94.5,5.1,0.4,0,0
E00065190,97.6,2.1,0,0,0.3
E00065191,97.9,2.1,0,0,0
E00065192,95.8,2.1,1.7,0.3,0
E00065193,97.7,1.8,0.5,0,0
E00065194,96.9,2.5,0.3,0,0.3
E00065195,95.5,3,1.1,0.4,0
E00065196,96.2,2.2,0.8,0,0.8
E00065197,98.1,1.2,0,0,0.7
E00065198,96.3,1.1,2,0,0.6
E00065200,95.7,3,1.3,0,0
E00065201,96.7,3.3,0,0,0
E00065202,95.7,1.3,0.4,1.7,0.9
E00065203,97.9,2.1,0,0,0
E00065204,93.3,4.9,0.7,0,1.1
E00065205,95.5,4.5,0,0,0
E00065206,94.9,3.7,0.7,0.7,0
E00065207,93.1,5.2,0,1.7,0
E00065208,95.6,3.3,0.7,0.4,0
E00065209,92,5.9,1.4,0.7,0
E00065210,92.7,4.3,0.9,2.1,0
E00065211,94.3,5.8,0,0,0
E00065346,88.5,5.8,3.8,0.3,1.6
E00065347,96.4,2.8,0.4,0.4,0
E00065348,92.7,4.6,1.2,0.8,0.8
E00065349,97.1,2,0,0,1
E00065350,94.5,4.2,0,0.3,1
E00065351,96,2.4,1.6,0,0
E00065352,90.4,6.2,2.7,0.8,0
E00065353,96.4,2.6,0.9,0,0.2
E00065354,95.9,3.8,0,0,0.4
E00065355,94.7,4.2,1.1,0,0
E00065356,94.3,5.7,0,0,0
E00065357,88.6,6.3,2.1,0.4,2.5
E00065358,94.4,2.2,1.7,1.7,0
E00065359,92,4.9,0.4,2.3,0.4
E00065361,94.1,4,0.4,1.5,0
E00065362,94.9,5.1,0,0,0
E00065363,97.8,1.8,0,0.4,0
E00065364,98.1,1.6,0.3,0,0
E00065365,96.4,2.9,0.7,0,0
E00065366,97.2,1.6,0.4,0.8,0
E00065367,93.2,5.5,1.3,0,0
E00065368,93.3,6,0.7,0,0
E00065369,95.2,4.2,0.3,0.3,0
E00065371,96.1,1.1,2.1,0.7,0
E00065372,96.8,0,2.7,0.5,0
E00065373,94.3,5.7,0,0,0
E00065374,95.7,2.9,0.9,0.6,0
E00065375,96.3,3.8,0,0,0
E00065376,93.6,5.5,0.5,0,0.5
E00065377,93.5,2.2,1.3,0.4,2.6
E00065378,96.5,2.5,0.5,0.5,0
E00065379,93,5.5,0.9,0.2,0.5
E00065380,94.9,2,1.4,1.7,0
E00065381,96.6,2.2,1.2,0,0
E00065382,96.4,1.6,2,0,0
E00065383,96.1,2.9,0.4,0,0.7
E00065384,96.5,2.5,0.5,0.5,0
E00065385,94.8,3.1,1,0.7,0.3
E00065386,92.9,3.9,0.3,2.1,0.9
E00065387,89.9,5.2,0.9,2.8,1.2
E00065388,91.9,6.9,1.2,0,0
E00065389,93.9,3.3,0.8,2,0
E00065390,93.4,3.7,0.4,2.2,0.4
E00065391,92.6,5,1.1,1.1,0.3
E00065392,92.7,4.5,1.9,0,1
E00065393,94.5,4.3,0.3,0.3,0.6
E00065394,95.1,4.9,0,0,0
E00065395,97.2,2.5,0,0.3,0
E00065396,95.4,3.7,0,0.3,0.6
E00065397,94.7,3.3,1.3,0.3,0.5
E00065398,92.7,5.5,0.5,0,1.4
E00065399,92.7,6.5,0.6,0,0.3
E00065401,97,2.5,0.5,0,0
E00065402,95.7,4.3,0,0,0
E00065403,94.7,4.2,0.5,0.5,0
E00065404,92.7,3.3,1.3,2.6,0
E00065406,98,2,0,0,0
E00065431,98.1,1.9,0,0,0
E00065432,97.7,1.9,0.3,0,0
E00065433,92.4,5.4,0,2.1,0
E00065434,97.2,2.8,0,0,0
E00065435,98.8,1.2,0,0,0
E00065436,97,2.6,0,0,0.3
E00065437,95.3,2.1,0.5,0,2.1
E00065438,95.1,4.9,0,0,0
E00065439,97.4,2.3,0.3,0,0
E00065440,96.1,2.5,0.3,1.1,0
E00065441,96.2,1.7,0,1,1
E00065442,97.4,2.2,0,0,0.3
E00065443,94.1,1.5,1.5,3,0
E00065445,97.1,2.9,0,0,0
E00065446,98.4,0.9,0.3,0,0.3
E00065447,92.7,6.1,0,0.3,0.9
E00065448,93.9,5.7,0.4,0,0
E00065449,96.7,2,0.7,0.7,0
E00065450,97.2,2.8,0,0,0
E00065451,96.2,2.1,0.7,0.7,0.3
E00065517,97.5,2.2,0,0.2,0
E00065518,94.3,4.3,1,0,0.3
E00065519,97.5,2.1,0,0,0.4
E00065544,95.4,2.7,0.5,0,1.4
E00065705,94.6,4.4,0,0.5,0.5
E00065708,96.6,2.8,0.3,0.3,0
E00065709,95.3,2.4,0.8,0.8,0.8
E00065711,98.3,1.4,0.3,0,0
E00065713,96.7,2.6,0,0.7,0
E00065715,98.6,1.4,0,0,0
E00065716,95.7,0.8,1.8,0,1.8
E00065717,99.2,0.8,0,0,0
E00065768,100,0,0,0,0
E00065769,92,5.1,1.1,0.4,1.3
E00065770,98.4,0.4,1.2,0,0
E00065771,95.9,1.7,1.7,0,0.8
E00065772,94.1,3.2,1.8,0.9,0
E00065773,95.1,3.6,0.6,0,0.6
E00065774,93.2,4.7,0.3,0,1.8
E00065775,99.2,0.8,0,0,0
E00065776,96.4,3.2,0,0,0.4
E00065779,96.9,3.1,0,0,0
E00065780,97.7,1.9,0,0.2,0.2
E00065781,94.4,2.9,1.3,0.5,0.9
E00065782,95.1,4.9,0,0,0
E00065783,92.3,3.9,0.6,0,3.3
E00065784,93.8,3.3,0.3,2.6,0
E00065785,96.7,3.3,0,0,0
E00065786,93.6,4.4,0.5,1.6,0
E00065787,94.4,5.1,0,0.5,0
E00065788,95.4,4.2,0,0,0.4
E00065789,91.8,3.6,3.9,0,0.7
E00065790,90.7,8.4,0,0.9,0
E00065791,96.8,2.5,0.7,0,0
E00065792,95.7,3.8,0.5,0,0
E00065793,99.6,0.4,0,0,0
E00065794,97.3,1.6,0.4,0.4,0.4
E00065795,91.3,4.1,0,0.9,3.7
E00065796,93.8,3.4,0.3,2.4,0
E00065797,96.2,1.9,1.3,0.6,0
E00065798,91.4,2.2,4.3,1.3,0.9
E00065799,95.1,3,0,1.9,0
E00065800,95.7,1.4,1.1,1.1,0.7
E00065801,97.6,1.4,0,0.5,0.5
E00065802,96.9,2.4,0.7,0,0
E00065803,91.5,3.6,2.8,1.2,0.8
E00065804,91.9,4.7,2.4,0,1
E00065806,98.5,1.5,0,0,0
E00065807,89.7,3.2,0.9,2.1,4.1
E00065808,92.9,2.6,1.5,0,3
E00065809,94.8,1.7,2.2,1.3,0
E00065810,92.8,6.7,0.5,0,0
E00065811,94.3,4.7,1,0,0
E00065813,93.5,3.7,1.1,1.1,0.6
E00065814,91.4,7.6,0,0,1.1
E00065815,96.7,2.9,0.4,0,0
E00065816,94,5.4,0.3,0.3,0
E00065817,92.6,3,1.5,2.2,0.7
E00065818,97.8,2.2,0,0,0
E00065819,93.7,4.4,0.6,0.9,0.3
E00065820,92.8,1.9,2.5,2.2,0.6
E00065821,96.3,2.4,0.3,0.3,0.7
E00065822,95.7,3.5,0.3,0,0.5
E00065908,96.9,1.1,1.5,0.4,0
E00065910,95.1,4.3,0,0.6,0
E00065911,97,3,0,0,0
E00065912,95.3,3.6,0.4,0.7,0
E00065913,95.4,4.3,0.3,0,0
E00065914,92.6,4.8,0,1.1,1.6
E00065916,97.9,1.2,0.6,0,0.3
E00065917,95.6,2.4,1,0,1
E00065918,96.1,1.1,0.4,1.1,1.4
E00065919,97.1,2.9,0,0,0
