geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00144678,90.6,1.3,8.1,0
E00144679,94.1,0.3,4.9,0.6
E00144680,91.1,0,8.1,0.9
E00144681,96.5,0,3.5,0
E00144682,91.9,0.3,5.8,2
E00144683,87,1,12,0
E00144684,90,0,10,0
E00144685,93.7,0,6.3,0
E00144686,85.3,0,13.5,1.1
E00144687,93.1,0.4,6.6,0
E00144722,89.3,0,10.1,0.6
E00144723,89.3,0.3,10.4,0
E00144724,91.1,0.7,8.2,0
E00144725,92.7,2.1,5.2,0
E00144726,89.7,0,10,0.3
E00144727,87.6,0.4,10.1,1.9
E00144728,93.9,0,6.1,0
E00144729,81.1,0.9,17.9,0
E00144768,93.6,0,6,0.4
E00144769,90.3,0,7.2,2.4
E00144770,88.3,0.8,10.9,0
E00144771,91.1,0,8,0.9
E00144772,92,0.4,7.4,0.2
E00144773,92.2,1.2,5.9,0.6
E00144774,91.5,0,7.8,0.8
E00144781,90.7,0.4,7.2,1.8
E00144782,91.8,0.2,7.8,0.2
E00144783,95.9,0,4.1,0
E00144784,89.4,0,9.6,1
E00144785,93.9,0,6.1,0
E00144786,95.8,0.3,3.9,0
E00144787,94.4,0.3,5.3,0
E00144788,91.6,0.7,7.7,0
E00144789,72.6,0.6,26.2,0.6
E00144790,90,0,9.6,0.4
E00144791,96.1,0.3,3.3,0.3
E00144792,95.3,0,4.7,0
E00144793,89.7,0,10.3,0
E00144794,88.2,0.4,10.7,0.8
E00144795,92,0.4,5.7,1.9
E00144814,94.2,0,5.5,0.3
E00144815,93.9,0.4,5.7,0
E00144816,91.3,0,8.7,0
E00144817,92.7,0,7.3,0
E00144819,97.6,0,1.7,0.7
E00144821,96.3,0,3.7,0
E00144822,92.3,0.3,6.6,0.9
E00144823,95,0,3,2
E00144824,95,0,5,0
E00173427,93,0,7,0
E00173428,93.9,0.3,5.5,0.3
E00173429,87.3,0,11.8,0.8
E00173430,82,0.2,17.3,0.5
E00173431,93.2,0,6.4,0.3
E00173432,85.4,0.4,13.8,0.4
E00173433,90.4,0,9.6,0
E00173435,84.2,0.3,15.4,0.1
E00173436,93.9,0.8,3,2.3
E00173440,85,0,15,0
E00173441,90,0.2,9,0.7
E00173443,93.2,0,6.8,0
E00173446,92.4,0,7.3,0.4
E00173576,90.1,0,9.6,0.2
E00173577,92.6,0,7.4,0
E00173579,85.9,0.5,13.6,0
E00176775,93.4,0.2,6.2,0.2
E00176780,84.8,0,14.8,0.4
E00176784,85.6,0,14.4,0
E00176785,81.8,0,17.5,0.7
E00176790,95.5,0.3,3.8,0.3
E00176798,87.1,0.2,12.2,0.5
E00176802,90.1,0.2,8.9,0.8
E00176810,92.3,0,5.4,2.3
E00176819,91,0,9,0
E00176823,93.7,0.2,6.1,0
E00176829,36.7,2.9,57.7,2.7
E00176830,61.8,0,38.2,0
E00176840,91.2,0,8.8,0
E00176858,74.3,0.5,22.9,2.3
E00176902,59.2,0.2,38.8,1.8
E00176903,94.1,0,5.9,0
E00187531,85,3.3,11.8,0
E00187533,94.9,0.4,4.6,0.2
E00187538,91.5,0,8.5,0
E00187548,94.1,0,5.6,0.4
E00187561,88.6,0.4,11,0
E00187565,91.9,1.5,6.4,0.2
E00187567,89.2,0,9.8,1
E00187583,50.1,0.5,48,1.4
E00187589,89.3,0,10.4,0.3
E00187590,87.1,2,10.6,0.3
E00187595,92.3,0.6,6.3,0.9
