geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00051654,9.6,44.6,4.6,38.6,2.5
E00051658,13.2,43.8,3.2,37.4,2.5
E00051660,15.6,38.9,7,35.2,3.3
E00051661,13.5,46.2,4.5,31.6,4.2
E00051662,13.6,49.1,3.9,31.1,2.2
E00051663,10.5,45.5,6.8,36.8,0.5
E00051664,14,40.8,2.4,40.8,2
E00051666,19.5,41.6,4,33.2,1.8
E00051667,12.1,40.8,6,38.9,2.3
E00051668,17.2,43.7,3.8,31.1,4.2
E00051669,13,43.5,4.1,37.8,1.6
E00051671,17.1,44.2,2.8,34.3,1.6
E00051674,23.7,39.3,1.8,33.9,1.3
E00051675,14.7,44.2,5.6,34.3,1.2
E00051680,18,39.6,8.4,32,2
E00051682,23.9,39.6,5.7,28.6,2.1
E00051683,12,34.2,0,53,0.8
E00051684,9.2,35,3.9,49.3,2.6
E00051686,10.4,39.1,2.4,45.7,2.4
E00051687,11,29,4.6,53.9,1.4
E00051688,25.7,44.4,6.6,19.5,3.7
E00051689,17.6,43.2,2.5,35.2,1.5
E00051691,20.7,51.9,5.8,20.2,1.4
E00051692,9.4,33.6,3.1,51.6,2.2
E00051693,19.6,46.3,3.3,28.1,2.6
E00051694,6.4,30.9,3,57.2,2.5
E00051695,18.1,41.7,4.3,33.1,2.7
E00051696,9.2,32.1,7.2,49.8,1.6
E00051699,9.5,36,2.9,49.1,2.5
E00051700,23,39,3.5,32,2.5
E00051701,9.5,34.9,4.8,48.4,2.4
E00051702,20.2,37.3,3.2,38.1,1.2
E00051703,17,38.2,4.6,37.1,3.1
E00051704,21.6,29.4,6.4,39.9,2.8
E00051705,22.4,28.5,1.5,46.5,1.2
E00051706,16.6,28.3,5.7,47.7,1.8
E00051707,15.8,40,5.1,37.7,1.4
E00051708,12.4,29.9,2.3,52.5,2.8
E00051709,13.2,35.6,5.3,43.8,2.1
E00051710,23.4,25.1,4.5,42.3,4.8
E00051711,24.1,41.4,4.7,29.8,0
E00051712,8.8,38.2,2.8,49,1.1
E00051713,21.2,35.9,2.2,38,2.7
E00051714,17.8,27.8,4.1,44.2,6.1
E00051715,39.8,23.6,4.2,26.9,5.6
E00051716,16.8,30.6,5.2,42.7,4.7
E00051717,12.2,33.2,5.9,47.6,1.1
E00051723,13.8,52.8,2.3,28.9,2.3
E00165815,23.7,34.2,2.1,35.7,4.2
E00165816,20.3,35.4,5.3,35.9,3.1
E00168157,7.1,27.1,2.2,61.5,2.2
E00168158,9.1,38.4,3.7,46.1,2.7
E00168160,14.6,36.9,4.6,40.8,3.1
