areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00096185,94.7,0.8,4.5
E00096186,94.9,1.5,3.6
E00096187,99.4,0.3,0.3
E00096188,96.9,0.7,2.4
E00096189,96.6,1.3,2.1
E00096190,95.1,0.5,4.3
E00096191,94.4,1.4,4.2
E00096192,97.8,0.7,1.5
E00096193,94.9,0.5,4.6
E00096194,97.6,0.7,1.7
E00096195,97.2,0,2.8
E00096196,98.6,0.3,1.2
E00096197,98.8,0,1.2
E00096198,97.9,0,2.1
E00096199,99.2,0,0.8
E00096200,98,0,2
E00096214,95.3,0.9,3.8
E00096215,94,0.9,5.1
E00096216,97.9,0,2.1
E00096217,96.6,1.4,2.1
E00096218,99.3,0,0.7
E00096219,98.5,0.5,1
E00096220,98.8,0.4,0.8
E00096221,94.9,0.8,4.2
E00096222,99.6,0.4,0
E00096224,94.9,1.8,3.3
E00096225,97.8,0,2.2
E00096226,96.7,0.9,2.4
E00096227,96.3,0,3.7
E00096228,98.1,0.7,1.2
E00096230,93.8,1.9,4.3
E00096231,93.2,0.6,6.1
E00096232,98.6,0.7,0.7
E00096233,95.5,1.7,2.8
E00096234,96.4,0,3.6
E00096235,97.6,1,1.4
E00096236,95.6,0.9,3.6
E00096237,98.3,1,0.7
E00096238,97.4,1,1.7
E00096239,97.3,0,2.7
E00096240,96.5,0.4,3.2
E00096241,95.7,0.9,3.4
E00096242,97.2,1.2,1.6
E00096243,94.8,2.6,2.6
E00096244,96.3,1.2,2.5
E00096245,94.3,0,5.7
E00096246,94.2,1.9,3.8
E00096247,97.8,1.2,0.9
E00096248,98.1,0,1.9
E00096273,96.7,1,2.3
E00096274,99.3,0,0.7
E00096275,97.4,1.5,1.1
E00096276,98.3,0.4,1.3
E00096278,98.1,0.7,1.1
E00096279,96.6,0.7,2.7
E00096280,98,0,2
E00096281,94.9,0.7,4.5
E00096282,94.1,1,5
E00096283,95.5,1.4,3.2
E00096284,49,1.9,49
E00096285,99.4,0,0.6
E00096286,98.7,0.8,0.5
E00096287,99.1,0,0.9
E00096288,97.6,0.3,2.1
E00096289,96.3,0,3.7
E00096290,98,0,2
E00096291,97.5,0.3,2.3
