geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00054134,15.7,23.9,40.3,14.9,5.2
E00054135,6.9,25.4,48.5,13.8,5.4
E00054136,19.8,24,39.7,13.2,3.3
E00054139,17.8,28.8,35.6,12.3,5.5
E00054141,23.8,25.2,35.4,13.6,2
E00054143,13.7,24.7,41.1,18.5,2.1
E00054144,23.2,27.7,34.2,11,3.9
E00054146,14.4,20,46.7,14.4,4.4
E00054147,13.2,25,44.1,13.8,3.9
E00054148,21.2,28.5,37.2,10.9,2.2
E00054150,9.9,37.4,42.7,7.6,2.3
E00054151,24.4,29.9,35.4,7.1,3.1
E00054152,17.1,24.3,47.4,7.2,3.9
E00054153,16,31.3,32.6,16,4.2
E00054154,26.7,29.6,29.6,8.9,5.2
E00054155,28.3,33.9,26.8,8.7,2.4
E00054162,20.9,16.5,51.1,6.6,4.9
E00054164,7.2,24.8,52,12.8,3.2
E00054167,7.6,24.2,58.6,6.4,3.2
E00054169,7.8,33.3,39.5,17.1,2.3
E00054172,14.3,32.9,38.6,13.6,0.7
E00054174,33.9,33.1,24.2,8.1,0.8
E00054175,25.8,35,38.3,0.8,0
E00054176,30,35,27.1,7.9,0
E00054177,45.9,30.4,20.9,2.7,0
E00054178,42.2,32.7,20.4,3.4,1.4
E00054179,32.5,45,19.2,3.3,0
E00054181,28.7,28,41.3,1.3,0.7
E00054182,14.6,54.5,29.3,0.8,0.8
E00054183,24.8,32.8,40.8,1.6,0
E00054184,5.7,35.2,57.4,1.6,0
E00054186,46,35.5,18.5,0,0
E00054187,14.7,42.6,41.2,1.5,0
E00054188,19.8,40.5,36.6,2.3,0.8
E00054189,30.8,31.5,31.5,5.4,0.8
E00054190,24.7,28.1,43.8,3.4,0
E00054191,32.2,35,29.4,2.8,0.7
E00054192,31.7,33.1,28.8,5.8,0.7
E00054193,8.2,23,66.4,2.5,0
E00054194,43.3,31.9,23.4,1.4,0
E00054196,26.1,47.1,23.9,2.2,0.7
E00054197,38.6,47.2,13.4,0.8,0
E00054198,42.3,36.5,19,2.2,0
E00054199,38.2,36.6,22.9,2.3,0
E00054200,32.5,42.5,22.5,2.5,0
E00054202,36.7,44,17.4,1.8,0
E00054203,13.1,32.4,51,3.4,0
E00054205,15.9,53.2,31,0,0
E00054206,3.8,23.6,71.3,1.3,0
E00054209,20.5,35,32.5,6.8,5.1
E00054210,20.2,29.8,30.7,15.8,3.5
E00054211,16.1,20.5,41.1,16.1,6.3
E00054214,13.4,44.6,34.8,4.5,2.7
E00054216,19.7,29.5,33.6,9.8,7.4
E00054218,24.3,30.9,31.6,10.3,2.9
E00054220,26.2,41.4,23.4,8.3,0.7
E00054221,31.2,36,28,4.8,0
E00054222,26.7,29.7,36.6,5.9,1
E00054224,20,35.2,36.2,4.8,3.8
