areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000438,72.5,10.9,5,11.6
E02000439,52.4,17.9,6.6,23.1
E02000440,66.6,15.1,3.6,14.7
E02000441,75.1,11.3,3.2,10.5
E02000442,42.6,24,6.8,26.6
E02000443,57.8,15.3,6,20.8
E02000444,50.5,18.5,6.8,24.1
E02000445,57,14.7,6.2,22.1
E02000447,67.6,13.5,4.7,14.2
E02000448,82.1,7.9,2.9,7.1
E02000449,46,21.6,5.2,27.2
E02000451,72,13.1,3.1,11.8
E02000452,56.5,13.7,6.3,23.5
E02000453,63.2,13.5,5.1,18.3
E02000454,78.8,10.3,3.8,7.1
E02000455,60.8,10.6,4.7,23.9
E02000456,64.4,15.3,3.8,16.6
E02000457,65.8,13.4,5,15.8
E02000459,56.7,14.7,6.3,22.2
E02000460,58.1,17.4,6.3,18.3
E02000461,71,10.2,3.8,15
E02000462,53.2,17.7,6.8,22.4
E02000463,58.5,18.1,6.4,16.9
E02000494,83.2,7.5,2.1,7.2
E02000495,76.4,8.1,3.3,12.1
E02000496,91.9,3.3,1.2,3.6
E02000497,84.8,7.1,2.8,5.4
E02000498,90.4,4.1,1.7,3.8
E02000499,85.3,6.4,2.1,6.2
E02000500,85,6.4,1.8,6.9
E02000501,85.6,6.4,2,6
E02000502,83,7,3,7
E02000503,85.9,6.9,2.6,4.6
E02000504,89.1,5.1,1.5,4.3
E02000506,82.6,8.9,1.3,7.1
E02000507,78.8,10.4,3.4,7.4
E02000508,73.5,9.3,4.1,13
E02000509,71.5,11.1,4.1,13.3
E02000510,77.8,9.1,3.1,9.9
E02000511,68.3,12.4,6,13.3
E02000512,71.6,10.5,5.3,12.7
E02000513,60.2,13.6,8.3,17.9
E02000514,49.1,20.1,8.8,22
E02000515,73.9,8.6,3.8,13.7
E02000516,58.2,16.2,6.5,19
E02000517,63.1,14.3,7,15.7
E02000518,75.3,10.5,4,10.2
E02000519,58,17.3,6.5,18.1
E02000520,57.1,17.5,6.3,19.1
E02000521,66.2,13.1,5.3,15.4
E02000522,74.7,10.6,4.8,9.9
E02000523,52.5,19,6.9,21.6
E02000524,69.6,11.3,4.4,14.7
E02000525,58.3,15.7,6.8,19.2
E02000526,78,9.8,2.1,10.1
E02000529,48.4,19.5,7.2,24.8
E02000530,50.9,18.6,7.6,22.9
E02000531,75.1,9.4,3.5,12
E02000532,80.1,9.1,2.4,8.4
E02000533,82,7.3,2.4,8.3
E02000534,67.5,14.2,3.9,14.4
E02000535,51.6,21.8,5,21.7
E02000536,51.6,20.7,5.7,21.9
E02000537,51.8,19.7,4.9,23.6
E02000538,49.2,22.7,5.5,22.6
E02000539,74.4,9.8,4.7,11.2
E02000540,62.4,12,5.3,20.4
E02000541,52.7,20.1,5.3,21.8
E02000542,53.1,17.3,6.8,22.8
E02000543,54.1,13,6.7,26.1
E02000544,63.8,15.2,4.2,16.8
E02000545,72.8,11.3,4.6,11.3
E02000546,50.6,19.4,7.5,22.5
E02000547,67.2,12.7,5.5,14.6
E02000548,70,10.3,5.3,14.4
E02000549,66.7,13.7,5.2,14.4
E02000550,66,11.3,6.6,16.1
E02000551,68.8,12.2,5.4,13.6
E02000552,70.8,9.1,6.4,13.7
E02000553,76.6,9.1,4.1,10.3
E02000554,75.7,11.2,2.9,10.2
E02000555,76.7,11.5,2.3,9.5
E02000556,74.8,11.5,1.4,12.3
E02000557,77,9.8,1.5,11.7
E02000558,64.5,13.9,4.2,17.4
E02000559,76.7,11.2,2.2,10
E02000560,70.8,12.4,2.2,14.6
E02000561,81.2,9,1.6,8.3
E02000562,78.9,10.8,1.7,8.6
E02000563,71.5,11.7,3,13.8
E02000564,73.2,11.2,2,13.6
E02000565,74.9,12.8,3,9.3
E02000566,80.3,9,1.3,9.4
E02000567,80.1,10.2,1.3,8.4
E02000568,71.8,11.8,2.9,13.5
