geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02004969,91.7,0.2,7.6,0.5
E02004970,91.9,0.2,7.4,0.5
E02004971,92.4,0.2,7,0.5
E02004972,90.9,0.2,8.2,0.7
E02004973,86.6,0.2,11.7,1.5
E02004974,88.3,0.2,10.3,1.2
E02004975,89.7,0.3,8.6,1.4
E02004976,82.7,0.3,14,3
E02004977,87.3,0.2,9.7,2.7
E02004978,88.9,0.2,8.9,2
E02004979,90.5,0.3,8.6,0.6
E02004980,90.6,0.4,8.5,0.5
E02004981,90.4,0.3,8.5,0.8
E02004982,92.4,0.3,6.6,0.7
E02004983,91.6,0.3,7.2,0.9
E02004984,91,0.2,8.6,0.2
E02004985,91.8,0.4,7.4,0.4
E02004986,88.8,0.2,10.4,0.6
E02004987,91.8,0.2,7.4,0.5
E02004988,90.1,0.4,8.9,0.6
E02004989,71.1,4.9,18.8,5.2
E02004990,87.8,0.4,9.9,2
E02004991,81.9,2.2,12.2,3.7
E02004992,65.2,6,21.9,6.9
E02004994,91,0.8,7.3,0.9
E02004995,91.2,0.4,7.9,0.5
E02005373,88.6,0.2,10.7,0.5
E02005374,89.9,0.2,8.2,1.7
E02005375,89.1,0.3,10,0.6
E02005376,90.1,0.2,9.2,0.4
E02005617,89.6,0.1,8.5,1.8
E02005619,91.6,0.3,7.8,0.3
E02005620,91,0.3,8.4,0.3
E02005621,89.9,0.2,9.6,0.3
E02005622,91.2,0.3,8,0.5
E02005623,87.2,0.3,12.1,0.4
E02005624,89,0.2,10.1,0.7
E02005625,90.2,0.2,8.8,0.8
E02005626,90.5,0.2,8.5,0.7
E02005627,92.1,0.2,7.3,0.3
E02005628,90.8,0.3,8.7,0.2
E02005631,88.7,0.2,10.5,0.6
E02005632,92.2,0.3,7.2,0.3
E02005633,89.8,0.1,9.9,0.2
E02005634,91.3,0.2,8.3,0.2
E02005635,91,0.1,8.7,0.2
E02005636,91.8,0.1,7.8,0.3
E02005637,89,0.1,10.3,0.6
E02005638,93.4,0.2,5.8,0.6
E02005639,90,0.2,9.3,0.4
E02005640,91.6,0.1,8,0.3
E02005641,91.6,0.1,7.9,0.4
E02005642,91.9,0.1,7.3,0.6
E02005643,92.2,0.1,7.3,0.4
E02005644,84.3,0.1,13.2,2.3
E02005645,85.5,0.2,11.7,2.6
E02005646,93.7,0.2,5.9,0.3
E02005647,91,0.2,8.2,0.6
E02005648,90.5,0.2,9,0.4
E02005650,82.5,0.4,14.8,2.3
E02005651,91.3,0.2,7.9,0.6
E02005652,92,0.1,7.1,0.7
E02005653,90.6,0.2,7.8,1.4
