geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00159115,100,0,0
E00159116,99.7,0.3,0
E00159118,99.3,0.7,0
E00159119,97.3,2.2,0.5
E00159120,97.6,2.2,0.3
E00159189,98,2,0
E00159190,98.8,1.2,0
E00159191,99.4,0.4,0.2
E00159192,99.1,0.9,0
E00168305,66.4,30.5,3.2
E00168306,94,5.2,0.8
E00168307,86.4,12.7,0.9
E00168308,80.5,16.7,2.7
E00168311,74.9,21.3,3.9
E00168312,97.7,2,0.2
E00168315,77.7,21.3,1
E00168316,95,4.2,0.8
E00168318,91.2,7.4,1.5
E00168320,96.2,3.5,0.3
E00168321,91.1,7.9,1
E00168322,57.3,33.1,9.6
E00168323,94.8,4.7,0.6
E00168326,88.8,10.8,0.4
E00168327,98.9,1.1,0
E00168328,98.8,1.2,0
E00168329,75.3,19.6,5.1
E00168330,63.3,32.7,4
E00168331,73.3,23,3.7
E00168332,72.9,22.5,4.6
E00168333,77.4,19.3,3.3
E00168334,70.7,26,3.3
E00168335,78.3,18.1,3.7
E00168336,93.4,5.6,1
E00168338,69.1,27.3,3.6
E00168339,85.6,12.2,2.2
E00168341,83.8,13.6,2.5
E00168344,98.4,1.6,0
E00168345,99.7,0.3,0
E00169191,94.2,5.2,0.5
E00169192,91,8.4,0.7
E00169195,86.6,10.7,2.8
E00169196,86.9,12.1,1
E00169197,86.9,10.3,2.9
E00169201,91.4,7.2,1.5
E00169202,93.6,6.1,0.3
E00169203,93.5,4.1,2.4
E00169204,95.5,3,1.5
E00170646,98.6,1.1,0.3
E00170647,93.9,5.6,0.6
E00186840,85.4,12.3,2.3
E00186841,91.6,8.2,0.3
E00186842,75.2,12.9,11.9
E00186848,85.5,12.5,2
E00186849,87,11.9,1.2
E00186850,89.8,8.4,1.8
E00186851,84,15.4,0.6
E00186852,72.7,26.1,1.1
E00186853,85.6,13.8,0.6
E00186854,89.3,10,0.7
E00186855,93.5,6.1,0.4
E00186856,81.3,17.2,1.6
E00186857,82.6,17.4,0
E00186858,92.6,7.4,0
E00186859,85.5,12.3,2.2
E00186860,97.8,2.2,0
E00186861,79.8,18,2.2
E00186862,95.8,3.7,0.6
E00186866,92.5,6.4,1.1
E00186878,64.7,31.8,3.5
E00186880,69.6,26.3,4.1
E00186889,82.9,14.3,2.7
E00186899,61.1,34.2,4.7
E00186900,93.4,6.3,0.3
E00186907,98.7,1.3,0
E00186908,82.3,15.8,1.9
E00186911,98.9,0.6,0.6
E00186913,80.3,16.9,2.8
E00186920,91.1,8.9,0
E00186924,93.3,6.7,0
E00186926,95.8,2.8,1.4
E00186936,93,6.7,0.3
E00186938,87.5,10.6,1.9
E00186943,76.7,20.2,3.1
E00186947,70.6,20.9,8.5
E00186950,63,35.4,1.7
E00186951,88.8,9.5,1.8
E00186955,86.3,12,1.8
E00186957,64.4,28.8,6.8
E00186960,69.8,26.8,3.4
E00186965,91.5,8,0.5
E00186966,97.1,2.9,0
E00186968,97.5,2.5,0
E00186969,98.7,1.3,0
E00186972,100,0,0
E00186975,90.9,6.7,2.5
E00186982,84.6,13.4,2
E00186986,74.4,23,2.6
E00186987,92.3,7.7,0
E00186991,100,0,0
E00186996,93.9,5.9,0.3
E00186998,67.2,24,8.8
E00187007,92.5,7,0.5
E00187011,94.6,4.5,0.8
E00187012,92.5,7.3,0.2
E00187017,81.5,15.7,2.8
E00187021,63.2,31.9,4.9
E00187022,65.3,32.4,2.4
E00187023,90.4,9.1,0.5
E00187338,99,1,0
E00187343,97.7,1.8,0.6
E00187349,99.2,0.8,0
E00187374,99.3,0.7,0
E00187393,97.7,2.3,0
E00187427,97.3,2.2,0.4
E00187439,99.2,0.8,0
E00187451,97.8,2,0.2
