areacd,heating_type_3a-001,heating_type_3a-002
E00136102,0.6,99.4
E00136103,1.4,98.6
E00136104,2.3,97.7
E00136105,0,100
E00136106,0.8,99.2
E00136107,1.9,98.1
E00136108,3.8,96.2
E00136109,1.7,98.3
E00136137,0,100
E00136138,4.1,95.9
E00136139,0.7,99.3
E00136140,0,100
E00136141,0,100
E00136142,3.7,96.3
E00136143,4,96
E00136144,0.9,99.1
E00136145,3.9,96.1
E00136146,1.7,98.3
E00136148,3.4,96.6
E00136149,0.7,99.3
E00136150,5.9,94.1
E00136151,0,100
E00136152,3.6,96.4
E00136194,1,99
E00136195,1.8,98.2
E00136196,1.5,98.5
E00136197,0,100
E00136198,0.6,99.4
E00136199,2.1,97.9
E00136200,0.9,99.1
E00136201,0,100
E00136202,0.7,99.3
E00136203,2.6,97.4
E00136204,1.5,98.5
E00136205,0,100
E00136206,0,100
E00136207,1.3,98.7
E00136208,0,100
E00136209,1.6,98.4
E00136210,0,100
E00136211,3.2,96.8
E00136212,7.8,92.2
E00136213,4,96
E00136214,2.3,97.7
E00136215,2.2,97.8
E00136230,2.5,97.5
E00136231,3.1,96.9
E00136232,0,100
E00136704,1.5,98.5
E00136705,0,100
E00136714,0.8,99.2
E00136715,0,100
E00136716,1.2,98.8
E00136717,1.1,98.9
E00136718,0.9,99.1
E00136719,2.3,97.7
E00136720,0,100
E00136721,2.5,97.5
E00136819,0.9,99.1
E00136820,1.9,98.1
E00136821,2,98
E00136823,2.7,97.3
E00136824,1.7,98.3
E00136880,4.2,95.8
E00136881,0.7,99.3
E00136882,0,100
E00136883,1.6,98.4
E00136884,0,100
E00136886,0,100
E00136887,2.5,97.5
E00136888,0,100
E00136889,3.4,96.6
E00136975,1.6,98.4
E00136978,0,100
E00136979,1.1,98.9
E00136980,0.8,99.2
E00136981,0.7,99.3
E00136982,1.1,98.9
E00136983,0,100
E00137043,6.9,93.1
E00137045,1.7,98.3
E00137046,3.1,96.9
E00137047,0,100
E00137048,4.1,95.9
E00137049,2,98
E00137050,0.5,99.5
E00137051,0.7,99.3
E00137052,5.8,94.2
E00154235,0.8,99.2
E00154236,0,100
E00154237,0.9,99.1
E00154238,0,100
E00154239,0,100
E00154240,0.9,99.1
E00154241,0.8,99.2
E00154242,0,100
E00154243,0.7,99.3
E00154244,0,100
E00154245,1.6,98.4
E00154246,0.8,99.2
E00154247,0,100
E00154248,4.8,95.2
E00154249,0,100
E00154250,2.4,97.6
E00154271,5.4,94.6
E00154272,3.9,96.1
E00154273,3.5,96.5
E00154274,2.1,97.9
E00154276,0.8,99.2
E00154277,4,96
E00154279,5.6,94.4
E00154291,0,100
E00154292,2.7,97.3
E00154293,1.8,98.2
E00154294,2.6,97.4
E00154295,1.4,98.6
E00154296,3.9,96.1
E00154339,0.7,99.3
E00154340,0.7,99.3
E00154341,0.8,99.2
E00154343,1.3,98.7
E00154344,1.5,98.5
E00154345,2,98
E00154346,2.2,97.8
E00154347,2.4,97.6
E00154348,1.4,98.6
E00154353,2.7,97.3
E00154354,0,100
E00154355,0,100
E00154367,0.9,99.1
E00154368,0.8,99.2
E00154369,1.8,98.2
E00154370,2.6,97.4
E00154371,5.9,94.1
E00154375,0,100
E00154377,0.9,99.1
E00154378,0.6,99.4
E00154379,1.6,98.4
E00154380,1.1,98.9
E00154381,0.9,99.1
E00154382,0,100
E00154383,0.6,99.4
E00154384,2.2,97.8
E00154385,1.7,98.3
E00154393,0,100
E00154394,0,100
E00154395,0,100
E00154396,0.8,99.2
E00154397,1.6,98.4
E00154429,0,100
E00154430,0,100
E00154431,0,100
E00154432,0.7,99.3
E00154433,0.5,99.5
E00154434,0,100
E00154435,1.6,98.4
E00154436,0.7,99.3
