areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00131883,54.5,28.9,16.5,0,0
E00131884,44,40.5,14.7,0.9,0
E00131885,13.4,35.3,49.6,0.8,0.8
E00131886,46.6,33.9,17.8,0.8,0.8
E00131887,46.9,41.4,10.2,1.6,0
E00131888,56.5,32.4,11.1,0,0
E00131889,5,14.9,75.2,5,0
E00131890,36.1,37,23.1,0.9,2.8
E00131891,27.2,61.6,11.2,0,0
E00131892,17.2,44.1,37.1,1.6,0
E00131893,22.8,37.1,37.7,2.4,0
E00131894,31.4,43,22.3,2.5,0.8
E00131895,39.1,46.1,14.8,0,0
E00131896,57.9,28.9,11.6,1.7,0
E00131897,33,37.4,23.5,5.2,0.9
E00131898,26.2,32.8,34.4,5.7,0.8
E00131913,20,45,31,4,0
E00131914,32.4,44.1,18,5.4,0
E00131915,30.1,36.8,26.3,5.3,1.5
E00131916,37.6,40.2,21.2,1.1,0
E00131917,22.3,40.8,33.8,2.3,0.8
E00131918,24.2,51.5,18.2,3.8,2.3
E00131919,30.9,52.9,15.4,0.7,0
E00131920,28.4,51.4,16.5,3.7,0
E00131921,58.1,31,10.1,0.8,0
E00131922,48,35.3,15.7,1,0
E00131923,55.5,30.9,13.6,0,0
E00131924,3.4,25.2,61.2,8.8,1.4
E00131925,53.5,34.7,9.9,1,1
E00131926,26.8,42.3,29.3,1.6,0
E00131927,44.6,33.1,20,2.3,0
E00131928,73.5,19.6,6.9,0,0
E00131929,43.5,35.7,18.8,1.9,0
E00131930,43.3,40.9,14.2,1.6,0
E00131931,32,46.4,19.2,2.4,0
E00131932,58.8,32.5,7.9,0,0.9
E00131933,54.5,34.7,9.9,0.8,0
E00131934,27.1,45.7,24,3.1,0
E00131935,28.6,55.2,15.2,1,0
E00131936,53.9,35.2,9.4,0.8,0.8
E00131937,56,31.2,11.2,1.6,0
E00131938,53.3,38,5.8,2.2,0.7
E00131941,36.1,24.1,34.6,4.5,0.8
E00131942,26.1,23.5,49.6,0.8,0
E00131946,54.7,32.7,10.7,1.3,0.6
E00131947,44.5,32.3,20.1,3,0
E00131948,52.4,35.5,10.5,1.6,0
E00131949,37.1,41.4,20.7,0.7,0
E00131950,61.1,35.1,3.8,0,0
E00131951,25.2,28.3,38.6,5.5,2.4
E00131959,40,37.6,18.4,2.4,1.6
E00168099,22.4,35.5,35.5,6.6,0
E00168101,20.3,35.4,35.4,7.6,1.3
E00168102,24.3,51.3,24.3,0,0
E00170632,36.5,42.3,15.4,5.8,0
E00170633,26.5,35.3,33.8,4.4,0
E00170634,54.2,28,16.1,1.7,0
E00170635,38.4,37.3,24.3,0,0
E00170636,64.6,25.4,8.5,1.5,0
E00170648,76.9,20.7,2.5,0,0
E00178496,50.8,26.9,20.2,1,1
E00178499,62.4,28.2,6.8,2.6,0
E00178518,10.9,42.9,39.5,6.7,0
E00178549,51.6,38.7,7.5,2.2,0
E00178576,53.8,33.6,9.1,2.8,0.7
E00178597,52.2,43.5,0,4.3,0
E00178606,28.4,44.8,25.4,1.5,0
E00187341,27.3,45.5,25,0,2.3
E00187345,71,21.7,7.2,0,0
E00187346,25.1,33.9,40.4,0.6,0
E00187365,63.6,17.8,17.8,0,0.9
E00187389,36.7,31.7,30,1.7,0
E00187404,66.4,28.4,4.5,0.7,0
E00187405,55.6,35.6,8.9,0,0
E00187413,53.1,37.7,7.7,1.5,0
E00187425,57,33.6,8.7,0.7,0
E00187435,43,34.8,20,2.2,0
E00187457,39.4,42.4,16.7,1.5,0
E00187465,47.6,28.7,22.4,1.4,0
E00187500,60,29.4,10.6,0,0
E00187508,38.9,38.9,21.7,0.6,0
