areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00125974,33.3,36.9,2.1,27.7
E00125975,21.6,29.5,1.4,47.5
E00125976,27.7,43.1,0.8,28.5
E00125977,49.1,34,1.9,15.1
E00125978,30.6,33.9,1.7,33.9
E00125979,47.8,44.2,1.4,6.5
E00125980,40.9,36.4,1.8,20.9
E00125981,40.6,50.8,1.6,7
E00125982,23.3,24.1,0,52.6
E00125983,24.8,32.1,33.6,9.5
E00125984,19.3,32.6,2.2,45.9
E00125985,34.3,37.9,2.9,25
E00125986,9.9,11.2,8.5,70.4
E00125987,25.8,38.3,5,30.8
E00125988,41.7,31.1,1.5,25.8
E00125989,28.4,61.9,1.5,8.2
E00125990,17.2,28.7,0.8,53.3
E00125991,34.8,43,2.2,20
E00125992,3.2,0,89.2,7.5
E00125993,40.2,47.5,5.7,6.6
E00125994,53.1,41.6,0.9,4.4
E00125995,45.5,42.1,4.8,7.6
E00125996,45.5,34.8,16.7,3
E00125997,34.7,35.5,3.2,26.6
E00125998,36.1,38.2,8.3,17.4
E00125999,57.3,25.2,1.3,16.2
E00126000,37,25,9.2,28.8
E00126001,35.3,31.1,1.2,32.3
E00126002,37,27.4,2.1,33.6
E00126003,36.8,29.6,0,33.6
E00126004,60.2,25.1,2.3,12.3
E00126005,35.5,18,25.7,20.8
E00126006,29.6,25.4,16.9,28.2
E00126007,27.6,25.8,22.7,23.9
E00126008,41.5,10.6,34.1,13.8
E00126009,22,24.6,42.4,11
E00126010,51.7,43.3,0.8,4.2
E00126011,28.9,28.1,28.9,14
E00126012,27.5,31.3,24.4,16.8
E00126013,45.7,29.1,0.8,24.4
E00126014,42.2,40.6,0.8,16.4
E00126015,31.7,42.1,19.8,6.3
E00126016,59,34.4,2.5,4.1
E00126017,43.2,29.7,21.6,5.4
E00126018,46,30.6,11.3,12.1
E00126019,55.7,36.5,1.7,6.1
E00126020,38.9,32.8,24.4,3.8
E00126021,36.4,34.9,15.5,13.2
E00126022,53.4,35.6,2.5,8.5
E00126023,43.4,31.5,18.2,7
E00126024,48.7,21.2,14.2,15.9
E00126025,54.9,35.4,0.9,8.8
E00126026,37.1,34.8,0,28
E00126027,41.3,22.7,28,8
E00126028,37.9,36.3,9.7,16.1
E00126029,25,31.6,38.2,5.1
E00126030,49.6,33.6,3.4,13.4
E00126031,24.6,18.9,54.1,2.5
E00126032,8.7,11.7,73.8,5.8
E00126033,39.6,38.3,17.4,4.7
E00126034,38.1,46.6,1.7,13.6
E00126035,12.9,21.8,59.7,5.6
E00126036,41.2,39,0.7,19.1
E00126037,39.3,37.8,0.7,22.2
E00126038,13.8,13.8,56.1,16.3
E00126039,30.7,38.7,12.4,18.2
E00126040,34.2,23.7,32.5,9.6
E00126041,37.1,26.2,10.4,26.2
E00126042,12.9,12.9,27.7,46.5
E00126043,49.6,44.8,2.4,3.2
E00126046,13.9,23.7,26.3,36.1
E00126047,43.7,51.1,0.7,4.4
E00126048,22.1,34.3,15,28.6
E00126049,18.4,40.4,3.5,37.6
E00126050,32,36.9,0.8,30.3
E00126051,23.2,45.7,1.4,29.7
E00126052,10.4,23.9,26.9,38.8
E00126053,22.5,29.7,2.9,44.9
E00126054,13.8,35.5,17.4,33.3
E00126055,12.3,25.4,0,62.3
E00126056,6.6,13.2,59.5,20.7
E00126057,21.5,23.1,10.8,44.6
E00126058,19,36.6,6.3,38
E00126059,37,44.9,1.4,16.7
E00126060,39.7,53.4,0,6.9
E00126061,14.2,26.1,44,15.7
E00126062,24.4,36.3,20.7,18.5
E00126063,14.4,37.6,16,32
E00126064,17.1,26.3,32.9,23.7
E00126065,24.1,35.3,3,37.6
E00126066,19.1,35.5,12.1,33.3
E00126067,37,31.5,20.5,11
E00126068,39.5,43.3,9.6,7.6
E00126069,29.5,49.2,3,18.2
E00126070,21,36.3,3.2,39.5
E00126071,24.8,50.4,0,24.8
E00126072,41.4,46.6,1.5,10.5
E00126073,37.7,45.7,3.6,13
E00126074,21.6,63.2,0,15.2
E00126075,25.8,50,6.1,18.2
E00126076,21.1,33.6,3.9,41.4
E00126077,19.9,39.2,2.4,38.6
E00126078,29.1,39.7,2.1,29.1
E00126079,32.7,34.6,22.1,10.6
E00126080,9.6,15.2,61.6,13.6
E00126081,47.3,39,7.5,6.2
E00126082,25.4,24.6,43.5,6.5
E00126085,16.3,36.9,26.2,20.6
E00126086,44.2,29.2,0.8,25.8
E00126087,17.9,40.2,23.9,17.9
E00126088,45.6,38.6,0.9,14.9
E00126089,5.6,3.2,88.7,2.4
E00126090,49.6,35.2,8.8,6.4
E00126091,9,23.4,39.3,28.3
E00126092,34.2,40.8,18.3,6.7
E00126093,2.9,31.2,54.3,11.6
E00126094,18.4,20.6,50.7,10.3
E00126095,37.1,12.1,28,22.7
E00126096,10.9,33.6,49.6,5.8
E00126097,34.6,39.2,23.8,2.3
E00126098,24.1,22.1,37.2,16.6
E00126099,23.9,19.4,42.6,14.2
E00126100,22.6,27.8,39.1,10.5
E00126101,28.7,27.2,40.4,3.7
E00126102,26.8,47,2,24.2
E00126103,33.9,47.2,1.6,17.3
E00126104,8.1,7.3,82.1,2.4
E00126105,20.8,42.5,31.7,5
E00126106,30.2,43.1,11.2,15.5
E00126107,23.6,48.8,6.3,21.3
E00126108,9.7,24.5,16.1,49.7
E00126109,21.9,25.5,46.7,5.8
