areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02005865,24.2,41.6,15.9,18.3
E02005866,28.1,39.7,15.1,17.1
E02005868,27.7,36.5,17.4,18.4
E02005869,31,30.5,17.6,20.8
E02005870,35.4,32.5,16.4,15.7
E02005871,30.5,39.7,15.2,14.6
E02005872,28,40.1,13.8,18.1
E02005873,28.5,37.8,15.1,18.6
E02005874,30.3,37.8,15.6,16.3
E02005875,26.5,36.5,19.2,17.9
E02005876,27,36.7,17.4,18.9
E02005877,30.9,35.4,16.5,17.3
E02005878,38,33.4,14.6,14.1
E02005879,36.4,34.3,16.8,12.5
E02005880,27.1,35.4,17.4,20.2
E02005881,28,38,16.1,17.9
E02005882,26.6,40.5,16.2,16.7
E02005883,31.9,32.8,16.9,18.4
E02005884,31.3,39.9,15.2,13.6
E02005885,30.5,37.4,15.7,16.4
E02005886,24.1,38.3,18.4,19.3
E02005887,36.7,31.5,16.9,14.9
E02005888,37.5,30.2,16.4,15.8
E02005889,29.7,34.5,17.6,18.2
E02005890,25.9,40.7,16.6,16.8
E02005891,37.7,31,13.9,17.3
E02005892,26.1,39.2,16.9,17.7
E02005893,31,35.9,16.7,16.4
E02005894,26.6,36.9,16.9,19.6
E02005895,24.4,45.9,13.7,16
E02005896,27.2,43.2,15.2,14.4
E02005897,25.3,41.3,15.6,17.8
E02005898,29.2,36.9,17.5,16.5
E02005899,39.5,31.4,15.3,13.9
E02005900,32.5,38.9,12.2,16.4
E02005901,31,35.5,16,17.5
E02005902,31.6,35.7,16.2,16.4
E02005903,30.1,39.3,14.9,15.7
E02005904,24.5,41.1,15.2,19.1
E02005905,25.3,41.4,16,17.3
E02005906,24.4,43.5,14.9,17.3
E02005907,29.5,36.7,15.1,18.7
E02005908,30.7,37.7,14.5,17.1
E02005909,23.9,32.4,17.6,26.1
E02005910,37.5,30.2,12.7,19.6
E02005911,27.4,33.6,16.4,22.6
E02005912,29.1,34.5,15.6,20.7
E02005913,26.1,34.1,16.2,23.6
E02005914,24.7,39.9,16.2,19.2
E02005915,24.9,44.1,14.4,16.6
E02005916,30.1,35.4,16.7,17.8
E02005917,23,44.2,14.6,18.1
E02005918,31.7,37.8,15.2,15.4
E02005919,24.6,39.9,16.5,18.9
E02005920,23.7,40.8,17.8,17.7
E02006803,26.3,40,16,17.7
E02006804,32.8,34.4,16,16.8
E02006815,26.3,23.7,18.3,31.6
