areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02005883,50.4,19.8,14,15.9
E02005884,46.3,20.9,17.7,15
E02005885,48.6,20.6,14.5,16.3
E02005886,43.5,21.8,19.4,15.3
E02005887,56.5,18.4,11.3,13.7
E02005888,55.2,18.8,11.2,14.7
E02005889,53.1,17.9,13.7,15.4
E02005890,42.6,20.5,20.6,16.4
E02005891,45.2,21.6,15.2,18.1
E02005892,38.9,21,27.4,12.7
E02005893,28.7,38.1,17.1,16.1
E02005894,31.2,30.9,21.5,16.5
E02005895,16.5,33.1,35,15.4
E02005896,21.1,30,35.1,13.8
E02005897,18.3,35.2,31.4,15
E02005898,33.3,31.1,18.9,16.7
E02005899,48.8,20.4,18,12.9
E02005900,17.5,30.3,39.8,12.4
E02005901,40.6,21.1,25.2,13.1
E02005902,46.6,20.8,17.8,14.9
E02005903,40.8,22.6,21.5,15.1
E02005904,25.8,26.6,33.9,13.6
E02005905,15.4,29.3,39.8,15.5
E02005906,11.3,30.7,44.4,13.6
E02005907,17.6,31.3,38.6,12.5
E02005908,25,20.2,42.3,12.5
E02005909,28.6,12.3,52.4,6.7
E02005910,30.6,12.6,49.7,7.2
E02005911,31.1,11.9,49.2,7.9
E02005912,34.8,12.7,43.4,9.1
E02005913,30.8,13,48.3,7.9
E02005914,32.5,20.7,31.6,15.2
E02005915,14.8,29.6,41.7,13.9
E02005916,33.8,14.5,39.5,12.2
E02005917,20,22.4,46.5,11.1
E02005918,28,22,35.2,14.8
E02005919,23,24.7,40.4,11.9
E02005920,19.6,25.9,42.6,11.9
E02006803,31.5,24.6,29.4,14.6
E02006804,37.3,26,20.3,16.4
E02006815,53.5,14.5,18.1,14
E02006816,35.4,18.5,33.1,13
E02006817,47.1,12.1,28.5,12.3
E02006818,44.4,10.5,30,15.1
E02006819,59.4,14.3,10.7,15.5
E02006820,40.8,13.7,29.9,15.6
E02006827,41.8,25.2,16.8,16.2
E02006828,36.6,26.1,22.5,14.9
E02006834,55.2,14.7,14.7,15.5
E02006835,42.3,14.7,27,16
E02006850,50.7,19.8,19.3,10.2
E02006851,47.4,16,27.3,9.2
E02006864,50.9,23.9,10.7,14.5
E02006865,49.5,26.3,10.1,14.1
E02006866,40.4,19.5,26.1,14
E02006867,43.5,17.7,24.5,14.4
E02006877,41.5,14.6,32.7,11.2
E02006878,39.7,15.2,33.5,11.5
E02006903,47.7,26,13.6,12.8
E02006904,40.2,12.1,40.4,7.2
E02006905,50.8,10.2,25.7,13.3
E02006906,39.9,14.7,31,14.4
E02006964,45.4,16.1,27.4,11.1
E02006965,49.8,12.1,26.5,11.6
E02006966,43.5,12.7,35.6,8.1
E02006967,41.3,15.9,34.5,8.3
E02007082,39.3,11.9,37.6,11.2
