geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00034622,10.2,14.2,46,29.5
E00034623,20.3,64.3,1.4,14
E00034626,18.6,48.9,6.5,26
E00034627,14.7,5.1,55.1,25
E00034628,24.2,17.4,12.1,46.2
E00034630,18.3,22.5,15.8,43.3
E00034631,44.4,49.5,0,6.1
E00034632,9.3,6,54.3,30.5
E00034633,31,31,4.4,33.6
E00034634,30.8,30.8,4.6,33.8
E00034635,28.8,43.9,8.6,18.7
E00034636,25.5,32.6,6.4,35.5
E00034637,54.4,24.6,3.5,17.5
E00034638,23.4,43.9,2.8,29.9
E00034639,37.4,26.8,11.4,24.4
E00034640,31.7,28.5,26,13.8
E00034641,50,32.3,4,13.7
E00034642,44.5,32.1,2.9,20.4
E00034643,5,19.8,47.5,27.7
E00034644,37.5,29.4,16.2,16.9
E00034645,25.8,30.5,3.1,40.6
E00034646,16.4,25.7,6.6,51.3
E00034647,27.9,22.1,30.9,19.1
E00034648,10.3,9.8,35.8,44.1
E00034649,35.9,29.8,0,34.4
E00034650,73.9,22.6,0,3.5
E00034651,57.1,36.1,0,6.7
E00034652,7.7,23.7,42.9,25.6
E00034653,6.8,11.6,72.1,9.5
E00034655,49.6,45.3,0.7,4.3
E00034656,72.9,18.6,2.5,5.9
E00034657,62.3,31.1,1.6,4.9
E00034658,74.4,16.5,1.5,7.5
E00034659,13,30.6,28,28.5
E00034660,47.9,25.4,23.1,3.6
E00034661,37.8,51.9,1.5,8.9
E00034662,65.8,17.4,8.7,8.1
E00034663,55.2,36.8,0,8
E00034664,32,28.2,30.1,9.7
E00034665,32.2,33.9,7.6,26.3
E00034666,29.3,21.6,40.5,8.6
E00034667,24.8,24.8,28.4,22
E00034668,42.7,37.4,0,19.8
E00034669,46.4,20,26.4,7.2
E00034670,43.9,35.8,2,18.2
E00034671,32,28,32,8
E00034672,18.3,16.5,38.3,27
E00034673,48.3,43.3,0,8.3
E00034674,34,28,27,11
E00034675,57,34.1,0.7,8.1
E00034676,9.3,12.4,67,11.3
E00034677,16.9,18.9,19.6,44.6
E00034678,27,35.1,15.3,22.5
E00034679,41.5,49.2,0.8,8.5
E00034680,51,29.9,10.2,8.8
E00034681,37.1,37.9,9.8,15.2
E00034682,46.9,41.7,5.2,6.3
E00034683,29.8,29.1,19.1,22
E00034684,23,21.3,41,14.8
E00034685,18.9,22.1,46.7,12.3
E00034686,20.2,25.4,45.6,8.8
E00034687,18.8,33.6,41.4,6.3
E00034688,36.9,32,3.3,27.9
E00034689,11.5,20.4,61.1,7.1
E00034690,31.2,25.6,30.4,12.8
E00034691,51.1,34.8,0.7,13.3
E00034692,23.1,24.8,27.3,24.8
E00034693,30.3,32,27.9,9.8
E00034694,17.3,16.5,23.7,42.4
E00034698,22.3,41.9,11.2,24.6
E00034699,23.9,14.2,8.2,53.7
E00034700,30.2,33.3,20.6,15.9
E00034701,38.1,32.7,10.6,18.6
E00034702,12.4,18.2,57,12.4
E00034703,42.6,35.2,11.5,10.7
E00034704,23.6,47.2,6.2,23
E00034707,16.8,15.3,50.4,17.6
E00034708,24.7,21.1,7.8,46.4
E00034721,32,22.1,39.3,6.6
E00034722,23.8,35.4,25.4,15.4
E00034723,13.9,16,56.9,13.2
E00034724,45.1,48.4,0.8,5.7
E00034725,27.2,22.8,36.8,13.2
E00034726,51.8,36,0.9,11.4
E00034727,65.4,27.9,0.7,5.9
E00034728,44.3,35.8,11.3,8.5
E00034729,3.4,11.7,80,4.8
E00034731,62.3,28.1,1.8,7.9
E00034732,13.9,10.7,68,7.4
E00034733,45.9,18.9,27.9,7.4
E00034734,52.2,39.1,1.4,7.2
E00034735,59.7,31.8,0.8,7.8
E00034736,59.8,32.8,0.8,6.6
E00034737,40.7,19.4,26.9,13
E00034738,41.6,40.1,0,18.2
E00034739,27.9,43.5,2.7,25.9
E00034740,27.6,29.9,33.9,8.7
E00034741,54.8,40.9,0.9,3.5
E00034742,27.5,28.3,35.8,8.3
E00034743,70.2,25.8,0,4
E00034744,20.6,21.4,44.3,13.7
E00034745,8.7,18.9,59.8,12.6
E00034746,54.3,34.6,1.6,9.4
E00034747,51.5,42.3,1.5,4.6
E00034748,38.5,16.2,35.8,9.5
E00034749,49.2,39.1,2.3,9.4
E00034750,35.2,27.9,27.9,9
E00034751,31.9,35.4,22.1,10.6
E00034752,21.4,33.3,31,14.3
E00034753,17.6,17.6,55.5,9.2
E00034754,14.2,19.9,55.3,10.6
E00034755,17.6,14.4,56,12
E00034793,23.7,16.1,39.8,20.3
E00034794,7.3,7.3,72.3,13.1
E00034796,25.6,64.3,0,10.1
E00034797,23.8,60.5,0.5,15.2
E00034800,45.9,24.6,23.8,5.7
E00034801,39.1,41,1.9,17.9
E00034802,34.8,34.8,17,13.5
E00034803,34,28.9,19.5,17.6
E00034804,26.3,56.2,1.5,16
E00034805,25.7,32.6,24,17.7
E00034807,23.4,24.2,21.8,30.6
E00034808,15.5,20.4,53.5,10.6
E00034810,38.9,37.7,7.4,16
E00034811,16.2,21.3,53.7,8.8
E00034812,21.5,50.2,20,8.3
E00034814,19.6,14,20.1,46.4
E00034816,20.6,19.1,52.7,7.6
E00034817,16.7,16.7,24.1,42.6
E00034818,13.8,16.1,58.6,11.5
E00034819,11.3,34.8,43.5,10.4
E00034821,18.4,22.8,53.7,5.1
E00034829,7.1,11,74,7.9
E00034830,17,0.9,57.5,24.5
E00034832,11.4,12.9,60.6,15.2
E00034833,23.3,8.6,41.4,26.7
E00034834,15,11,60.6,13.4
E00034835,17.4,11.1,7.6,63.9
E00034836,13.2,9.4,43.4,34
E00034837,18,18,33.6,30.3
E00034838,7.8,28.1,52.1,12
E00034839,27.9,26.2,17.2,28.7
E00034840,31.7,22.5,21.7,24.2
E00034841,30.4,24.4,14.8,30.4
E00034842,8.7,9.7,57.4,24.1
E00034844,25,16.7,2.1,56.3
E00034845,32.1,26.1,1.5,40.3
E00034846,18.6,14.7,58.1,8.5
E00034847,14.9,19,54.5,11.6
E00034848,23.2,15.2,25.6,36
E00034849,34.9,18.3,6.3,40.5
E00034850,11.4,12.7,66.3,9.6
E00034851,11.3,9.2,19.5,60
E00034852,15,8.4,68.9,7.8
E00034853,30.5,22.2,4.2,43.1
E00034854,10.8,11.8,70.6,6.9
E00034855,15.5,12.9,33.6,37.9
