areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00104448,44.2,55.8
E00104449,34.4,65.6
E00104450,50.5,49.5
E00104451,41,59
E00104452,48.1,51.9
E00166076,32.1,67.9
E00166077,48.6,51.4
E00166078,57.8,42.2
E00166079,46.9,53.1
E00166084,62.6,37.4
E00166085,40.1,59.9
E00166089,54.3,45.7
E00166094,42.6,57.4
E00166095,50.2,49.8
E00166097,36.8,63.2
E00166098,45.6,54.4
E00166099,44.7,55.3
E00171470,35.2,64.8
E00171471,17.2,82.8
E00171472,52,48
E00171473,62.7,37.3
E00171474,22.3,77.7
E00171475,33.3,66.7
E00171476,35.2,64.8
E00171477,35.9,64.1
E00171478,40.8,59.2
E00171479,33.2,66.8
E00183039,32.7,67.3
E00183040,43.8,56.2
E00183043,43.1,56.9
E00183044,39.6,60.4
E00183049,64.5,35.5
E00183050,34.1,65.9
E00183051,51,49
E00183053,69,31
E00183055,44.9,55.1
E00183056,25.8,74.2
E00183061,51.8,48.2
E00183062,46.9,53.1
E00183064,17.5,82.5
E00183065,71.3,28.7
E00183067,30.2,69.8
E00183068,52.9,47.1
E00183072,32.7,67.3
E00183074,59.9,40.1
E00183079,28.4,71.6
E00183081,48.9,51.1
E00183087,59,41
E00183089,37.1,62.9
E00183093,41.4,58.6
