geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00028692,13,23.1,50,13.9
E00028695,9.5,33.3,51.4,5.7
E00028696,15,34,49,2
E00028697,13.8,25.1,54.5,6.6
E00028698,15.7,17.9,59.3,7.1
E00028699,8.8,29.2,55.8,6.2
E00028752,12.2,17.3,66.3,4.1
E00028765,14.5,20,57.2,8.3
E00028766,12.7,7.3,76.4,3.6
E00028769,6.1,18.3,65.9,9.8
E00030946,19.6,33.7,41.3,5.4
E00030947,13.2,19.9,61.6,5.3
E00030950,9.2,20.1,61.4,9.2
E00030953,14.5,18.2,58.2,9.1
E00030954,14.1,34.5,49.2,2.3
E00030955,10.1,33.5,51.9,4.4
E00030956,5.7,28.6,61.4,4.3
E00030958,13.2,31.8,49.7,5.3
E00030961,14.5,35.5,48.7,1.3
E00030962,19.3,19.8,53.5,7.5
E00030963,11.3,32.5,51,5.3
E00030964,11.1,36.1,48.9,3.9
E00030965,9,30.3,54.5,6.2
E00030966,15.2,23,53.4,8.4
E00030967,11.4,31.3,53.4,4
E00030968,13.4,29.9,51.8,4.9
E00030969,12.4,24.7,52.8,10.1
E00030970,13.3,26.5,55.4,4.8
E00030971,13.4,15.1,59.7,11.8
E00030972,16.9,23.2,53.1,6.8
E00030973,16.4,20.9,56.5,6.2
E00030974,11,27.9,55.9,5.1
E00030975,6,21.2,64.9,7.9
E00030976,11.6,19.9,61.9,6.6
E00030977,15.1,19.9,59.6,5.5
E00030978,10,20.9,63.6,5.5
E00031110,17.1,31.7,48.8,2.4
E00031116,18.1,17.5,58.8,5.6
E00031118,10.1,21.6,62.5,5.8
E00031120,9.4,20.4,62.4,7.7
E00031121,12.6,17.7,61.7,8
E00031124,7.1,31.9,54.6,6.4
E00031125,12.2,21.3,57.9,8.5
E00031137,10.1,23.1,60.1,6.7
E00031349,12.3,25,55.7,7.1
E00031366,16.7,22,54.8,6.5
E00031375,8.7,20.7,62.5,8.2
E00031376,8.9,17.8,64.3,8.9
E00168581,6.5,11,76.5,6
E00168599,9.2,26.1,58.5,6.3
E00171967,10.7,16.6,66.8,5.9
E00171971,2.8,8.8,78.2,10.2
E00171974,7.1,7.5,76.5,8.8
