areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00165359,12.3,23.2,54.2,10.3
E00165360,12.5,18,58.6,10.9
E00165361,11.8,19.4,59.1,9.7
E00165362,10.1,25.7,53.6,10.6
E00165363,10.3,18.3,63.5,7.9
E00165364,10.6,22.3,56.4,10.6
E00165365,7.4,20.5,61.5,10.7
E00165366,7.7,20.8,65.4,6.2
E00165367,10,24.6,60,5.4
E00165368,18.3,14.1,54.9,12.7
E00165369,13,27.8,54.8,4.3
E00165370,8.7,15.7,50.4,25.2
E00165371,17,26.2,50.4,6.4
E00165372,9.7,20.8,64.3,5.2
E00165373,10.3,24.3,51.4,14
E00165374,6.3,22.9,62.5,8.3
E00165375,8.6,20.3,64.1,7
E00165376,7.8,22.4,60.3,9.5
E00165377,11.6,18.7,57.4,12.3
E00165378,8.3,25,60.2,6.5
E00165379,16.3,19.2,57.7,6.7
E00165380,7.9,20.6,61.1,10.3
E00165381,11.1,28.4,50.6,9.9
E00165382,7.1,18.3,57.9,16.7
E00165383,10.7,28.1,52.9,8.3
E00165384,8.9,21.5,58.2,11.4
E00165385,5,18.8,71.3,5
E00165386,10.9,16,52.1,21
E00165387,9.4,22.2,51.3,17.1
E00165388,12.8,30.3,47.7,9.2
E00165389,8.7,20,57.4,13.9
E00165390,11.4,19.3,50,19.3
E00165391,15.9,19.8,54,10.3
E00165392,8.5,24.2,60,7.3
E00165393,12.2,20.9,54.8,12.2
E00165394,11.9,25.9,54.1,8.1
E00165395,9.2,26.1,54.6,10.1
E00165396,5.7,25.2,60.2,8.9
E00165397,18.1,19.7,52.8,9.4
E00165398,8.6,23.2,55,13.2
E00165399,13,16.7,56.5,13.8
E00165400,6.6,23.4,58.4,11.7
E00165401,21.8,14.3,50.4,13.5
E00165402,16,19.4,45.1,19.4
E00165403,12.8,19.3,49.7,18.2
E00165404,12.6,19.5,48.4,19.5
E00165405,6.7,26.2,49,18.1
E00165406,13.6,23.6,48.2,14.5
E00165407,13.4,15.7,50,20.9
E00165408,13.7,17.6,53.4,15.3
E00165409,13,19.9,48.6,18.5
E00165410,10.5,16.8,60,12.7
