areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00127658,16.4,33.2,4.4,45.6,0.4
E00127659,20.7,37.9,7.9,31.7,1.8
E00127660,23.3,47.1,6.2,22.2,1.2
E00127661,22.5,49.2,3.4,23.7,1.3
E00127662,33.7,44.3,2.8,17.5,1.6
E00127663,16,44.1,5.5,32.4,2
E00127664,13.8,55.2,2.5,27.2,1.3
E00127665,29.1,44.8,6.1,16.5,3.4
E00127670,29.4,51.4,4.1,13.9,1.2
E00127672,34.8,42.9,6.6,12.1,3.5
E00127676,30.1,46,5.1,17.3,1.5
E00127680,34.7,44,8.5,10.9,2
E00127682,20.1,56.8,3.8,16.7,2.6
E00127683,34.4,36.4,7.7,15.9,5.6
E00127684,32.4,41.7,6.9,14.7,4.4
E00127685,32.1,44,5.5,16.1,2.3
E00127687,8.5,38.4,3.6,48.7,0.9
E00127688,10,42.9,4.3,40.3,2.6
E00127689,11.7,41.6,7,38.3,1.4
E00127690,13,36.5,5.7,42.9,1.9
E00127691,14,35.8,4.7,43.2,2.3
E00127692,8.2,33.9,6.4,49.8,1.7
E00127693,9.1,42.6,7,39.7,1.7
E00127695,13.2,31.2,6.8,40,8.8
E00127696,6.2,44.7,2.7,43.2,3.1
E00127698,15,30,9.4,41.8,3.8
E00127699,15.4,38.8,11.7,31.3,2.8
E00127700,17.9,38.3,10.6,31,2.2
E00127701,9,34.1,7.6,45,4.3
E00127728,8.6,28.6,5,57.9,0
E00127729,20,36.8,4.3,36.2,2.7
E00127730,11.2,32,3.9,50.5,2.4
E00127731,11,38.8,5.3,44.5,0.4
E00127733,8.4,34.4,3.6,53.2,0.4
E00127734,10.2,37.6,4.3,45.7,2.2
E00127735,8.7,35.6,1.9,51,2.9
E00127737,19.4,38.5,6.7,31.7,3.6
E00127738,14.5,53,6.5,22,4
E00127739,19.1,42.3,5.5,30,3.1
E00127740,13.7,35,7.7,41,2.6
E00127741,15.4,29.4,5.6,48.6,0.9
E00127742,17.2,41.2,9.9,28.5,3.3
E00127743,7.7,41.9,5.8,42.5,2.2
E00127744,14.8,39.1,6.2,39.5,0.4
E00129963,13.1,33.5,3.6,48,1.8
E00140271,15.5,35.4,8,40.2,0.9
E00140272,17.4,37.1,9.4,32.4,3.8
E00140273,12.9,40.6,7.5,38.4,0.6
E00140274,14.9,53.6,5.2,24.7,1.5
E00140275,17.9,34.5,6.4,38.3,3
E00140276,9.8,37.5,6.6,42.2,3.9
E00140277,11.7,32.8,5.7,48.2,1.5
E00140278,23.1,47.2,7.5,22.2,0
E00140279,15,54.9,7,21.2,1.8
E00140280,20.3,35.8,6.1,35.4,2.4
E00140281,12.3,32,6.3,46.5,3
E00140282,8.5,39,6.7,43.5,2.2
E00140338,19.9,46.6,7.2,24.3,2
E00140339,20.7,38.3,9.5,30.6,0.9
E00140341,13.2,38.1,4.8,41.3,2.6
E00140342,20,46.7,6.2,25.7,1.4
E00140343,16.6,39.6,10.2,30.9,2.6
E00140344,20.6,38.4,7,29.8,4.2
E00140346,13.1,41.2,4.6,38.1,3.1
E00170158,7.6,61.7,1.3,29,0.3
E00170159,14.1,40.9,7.1,36.4,1.5
E00170160,3.8,40.6,0,52.6,3
E00170161,6.6,50.8,0.8,38.6,3.2
E00170162,13.3,27.7,4.2,54.8,0
E00170163,5.5,58.4,0.9,32.9,2.3
E00170165,10.5,53.8,4.1,31.6,0
E00170168,1.7,84.9,1.1,10,2.4
E00170169,2.8,30,7.1,58.1,2
E00170170,1.5,66.5,1.1,26.3,4.6
E00170171,10.3,37.1,9.3,41.2,2.1
E00185570,4.5,34,3.4,58.2,0
E00185582,1.4,23.1,0.8,72.7,2
E00185587,4.2,52.5,1.1,39.9,2.2
E00185589,1.7,45.4,2.2,50.2,0.4
E00185590,4.1,65.7,1.2,26.9,2.1
E00185594,3.8,26.9,1.8,67.5,0
E00185602,3.6,67,0.5,22.7,6.2
E00185618,22.1,42.1,4.2,28.4,3.3
E00185621,3.8,32.3,3,60,0.9
E00185623,11.7,56.8,0,29.1,2.4
E00185629,14.2,59.4,1.9,22.6,1.9
E00185635,12.1,41,2.5,43,1.4
E00185636,5.2,34.8,2.2,56.3,1.5
E00185643,6,33.9,4.4,55.4,0.4
E00185646,10,47.8,2.3,38,1.9
E00185647,15.1,50.2,5.9,26.2,2.6
E00185653,14.1,30.4,4.8,47.6,3.1
E00185659,7.5,28.4,2.2,61.9,0
E00185661,6.4,36.7,1.8,55,0
E00185664,10.9,32.6,7.9,48.5,0
