geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00172214,44.8,36.3,16.6,2.2,0
E00172288,65.3,26.5,7.5,0.7,0
E00181299,71.8,20.9,4.9,1.5,1
E00181300,56.9,32.8,10.3,0,0
E00181319,48.9,40,11.1,0,0
E00181348,49.6,33.3,17,0,0
E00181354,63.3,34.2,1.9,0.6,0
E00181373,67.9,21.4,10.7,0,0
E00185033,70.9,24.3,3.9,1,0
E00185037,53.8,28.8,15.4,1.9,0
E00185038,72.6,19.7,5.8,1.9,0
E00185095,67.6,28.2,4.2,0,0
