geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00090487,22.3,33.1,14.6,30
E00090490,36.3,29,16.9,17.7
E00090491,14.6,39.8,17.5,28.2
E00090493,10.9,41.2,16,31.9
E00090494,26.8,31.9,18.8,22.5
E00090496,19,37.1,24.8,19
E00090498,15.7,32.8,22.4,29.1
E00090499,23.8,35.8,17.9,22.5
E00090500,15.4,38.2,19.1,27.2
E00090501,43.8,35.8,8.8,11.7
E00118744,25.8,31.1,14.4,28.8
E00118748,43.8,33.1,9.2,13.8
E00118749,30.4,29.6,24,16
E00118750,32.3,38.5,10.8,18.5
E00118752,41.5,33.3,12.2,12.9
E00118753,31,27.8,14.3,27
E00118755,19.6,34.1,20.3,26.1
E00118756,27.2,47.8,10.3,14.7
E00118757,18.9,33.3,18.2,29.5
E00118758,29.8,33.1,16.1,21
E00118765,28.3,40.6,10.1,21
E00120937,27.4,33.6,8.8,30.1
E00120940,25.4,31.5,15.4,27.7
E00120944,21.4,23.2,19.6,35.7
E00120948,10.1,31.8,20.2,38
E00165835,24.2,38.3,14.1,23.4
E00165837,24.4,26.1,23.5,26.1
E00178332,48.6,32.9,13,5.5
E00178343,38.7,42.5,7.5,11.3
E00178401,33.3,26.2,17.9,22.6
E00178405,7,19.7,36.6,36.6
E00178434,46.8,27.8,13.9,11.4
E00178448,25,33.6,20,21.4
E00189318,33.1,30.3,17.4,19.1
E00189335,52.9,25.5,7.8,13.7
E00189378,12.8,43.6,15.4,28.2
