areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00080462,83.3,0,16.7,0
E00080463,84.9,0,15.1,0
E00080464,88.4,0,10.9,0.6
E00080465,95.1,0,4.6,0.3
E00080466,94.7,0,5.3,0
E00080467,94.7,0,5.3,0
E00080468,93.2,0,6.5,0.3
E00080469,83,0,16.6,0.4
E00080470,91.5,0,8.5,0
E00080471,91,0.8,7.7,0.5
E00080472,88.6,0,10.9,0.6
E00108246,92,0.3,7.7,0
E00108247,88.7,0,11.3,0
E00108248,92.5,0,7.5,0
E00108272,93,0,7,0
E00108273,88.9,0,10.6,0.5
E00108274,93.9,0,6.1,0
E00108365,86.3,0.5,13.2,0
E00108367,89.9,0,9.3,0.8
E00108368,93.6,0.5,5.6,0.3
E00108370,94.3,0,5.7,0
E00108371,93.2,0,6.6,0.2
E00108372,96.3,0,3.7,0
E00108373,91.9,0.4,7.7,0
E00108374,90.7,0,9.3,0
E00108375,90.8,0,9.2,0
E00108376,93,0.3,6.7,0
E00108377,94.4,0,5.6,0
E00108378,92.1,0,7.9,0
E00108379,92.2,0,7.5,0.4
E00108380,94.7,0.2,4.8,0.2
E00108381,95.5,0,4.5,0
E00108382,95.3,0,4.4,0.3
E00108383,96,0,4,0
E00108384,91.8,0.5,7.4,0.3
E00108385,92.2,0,7.8,0
E00108386,95.6,0.3,3.9,0.3
E00108387,91.2,0.3,8.2,0.3
E00108391,87.9,0,12.1,0
E00108398,92.7,0.3,6.7,0.3
E00108400,90.9,0,9.1,0
E00108401,96,0,4,0
E00108402,93.2,0,5.9,0.8
E00108403,95.8,0,4.2,0
E00108405,89.4,0.2,9.7,0.7
E00108407,90.5,0.7,8.8,0
E00108409,88.9,0,11.1,0
E00108410,96.1,0.3,3.6,0
E00108415,93.9,0.6,5.1,0.3
E00108416,89.9,0,10.1,0
E00108417,89.8,0,10.2,0
E00108418,94.1,0,5.3,0.6
E00108423,89.7,0,10.3,0
E00108424,96.7,0,3.3,0
E00108425,91.9,0,8.1,0
E00108426,94.2,0,5.3,0.5
E00108428,92.4,0,6.9,0.7
E00108429,94.9,0,5.1,0
E00109108,96.2,0,3.8,0
E00109109,92.3,0,7.1,0.6
E00109110,91.3,0,8.7,0
E00109111,95.9,0,4.1,0
E00109112,94.9,0.3,4.8,0
E00109113,90.8,0.3,8.8,0
E00109114,91.4,0,8.6,0
E00109115,91.3,0.3,8.2,0.3
E00109116,93.5,0,6.5,0
E00109117,95.3,0.8,3.9,0
E00109118,93.1,0,6.9,0
E00109119,92.8,0,6.8,0.3
E00109120,93.3,0.6,4.7,1.5
E00109121,90.5,0,9.1,0.4
E00109122,88.6,0.3,11.1,0
E00109123,91,1,7.7,0.3
E00109124,95.1,0,4.9,0
E00109125,93.7,0.3,6,0
E00109126,93,0,5.6,1.4
E00109127,93.3,0,6.7,0
E00109128,94.3,0,5.2,0.5
E00109129,92.8,0,7.2,0
E00109130,90.5,0.2,8.9,0.4
E00109131,91.7,0.3,8,0
E00109132,89.6,0,9.8,0.6
E00109133,94.9,0,4.2,0.8
E00109134,90.9,0,9.1,0
E00109135,82.8,0.5,16.4,0.3
E00109136,93.9,0.4,5.7,0
E00109137,92.5,0.2,7.2,0
E00109138,93,0,6.7,0.3
E00109139,94.6,0.3,5.1,0
E00109140,97.1,0,2.6,0.3
E00109141,95.4,0,4.3,0.3
E00109142,94,0,6,0
E00109143,93.4,0.3,6.3,0
E00109144,94.9,0,5.1,0
E00109145,94.7,0,4.7,0.6
E00109146,92.5,0.9,5.7,0.9
E00109147,91.6,0.3,8.1,0
E00109148,88.8,0,11.2,0
E00109149,94.5,0,5.5,0
E00109150,90,0,10,0
E00109151,91.4,0.3,8.3,0
E00109152,92.5,0,7.5,0
E00109153,90.2,0,9.2,0.6
E00109154,94.7,0,5.3,0
E00109155,93.9,0,6.1,0
E00109156,89.9,0.6,9.5,0
E00109157,92,0,8,0
E00109158,96.1,0,3.9,0
E00109159,93.9,0,6.1,0
E00109160,93.1,0,6.5,0.4
E00109161,95.4,0.5,4.2,0
E00109162,94.5,0,5.5,0
E00109163,94.6,0,5.1,0.3
E00109164,95.7,0,4.3,0
E00109165,92.3,0,7.7,0
E00109166,95.7,0,4.3,0
E00109167,96,0,4,0
E00109168,93,0,7,0
E00109169,94.4,0,5.6,0
E00109170,91.9,0,8.1,0
E00109171,92.2,0,7.8,0
E00109172,89,0,11,0
E00109173,93.7,0,6,0.3
E00109174,95.1,0,4.9,0
E00109175,92.2,0,7.8,0
E00109176,91.1,0,8.9,0
E00109177,89,0,11,0
E00109178,92.7,0,7,0.3
E00109179,93.9,0,5.7,0.5
E00109180,95,0,5,0
E00109181,87.5,0.6,11.9,0
E00109182,92.7,0,7.3,0
E00109183,94.4,0,5.6,0
E00109184,95.3,0,4.7,0
E00109185,89.4,0.4,10.3,0
E00109186,91.8,0,8.2,0
E00109187,93,0,7,0
E00109188,90.8,0,8.8,0.4
E00109189,89.2,0,10.8,0
E00109190,92.1,0.3,7.6,0
E00109191,95.4,0.4,4.2,0
E00109192,91.6,0,8.4,0
E00109193,85.8,0,14.2,0
E00109195,93.4,0,6.6,0
E00109196,95.6,0,4.4,0
E00109197,94.6,0,4.8,0.6
E00109198,95.9,0.7,3,0.4
E00109199,92.8,0,7.2,0
E00109200,93.5,0.4,6.1,0
E00109201,92.7,0,6.6,0.7
E00109202,90.5,0,9.5,0
E00109203,95.1,0,4.5,0.4
E00109204,94.5,0,5.5,0
E00109205,95,0,5,0
E00109206,92.7,0,7.3,0
E00109207,90.5,0,8.6,0.9
E00109208,94.1,0,5.9,0
E00109209,90.2,0,9.8,0
E00109210,93.2,0,6.8,0
E00109211,87,0,11.1,1.9
E00109212,93.4,0,6.6,0
E00109213,95.4,0,4.3,0.3
E00109214,94.2,0.3,5.5,0
E00109215,92.2,0,7.8,0
E00109216,87.6,0,11.7,0.7
E00109217,88.3,0,11.7,0
E00109218,87.5,0,12.5,0
E00109219,89.1,0,10.9,0
E00109220,93.9,0,6.1,0
E00109221,90.6,0,9.4,0
E00109222,92.3,0.5,7.2,0
E00109223,94.2,0,5.8,0
E00109224,93.4,0,6.6,0
