geography_code,heating_type_3a-001,heating_type_3a-002
E00166275,0,100
E00166276,1.2,98.8
E00166277,9.3,90.7
E00166287,0,100
E00166288,0,100
E00186544,2.1,97.9
E00186562,1.4,98.6
E00189460,0,100
E00189462,0,100
E00189466,0,100
E00189479,0,100
E00189500,1.5,98.5
E00189509,0,100
E00189522,0,100
E00189524,0,100
E00189530,0,100
E00189539,0.8,99.2
E00189552,0.8,99.2
E00189560,2.3,97.7
E00189567,0,100
E00189578,0.8,99.2
E00189579,0.7,99.3
E00189592,0,100
E00189593,0,100
E00189609,0.8,99.2
E00189610,0,100
E00189611,1.4,98.6
