geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00001271,52.2,3,44.8
E00001272,63.9,6.8,29.3
E00001273,61,4.4,34.5
E00001274,63.5,1.8,34.7
E00001275,55.9,4,40.2
E00001276,58,2.1,39.9
E00001277,58.1,3,38.9
E00001278,59.8,3.3,36.9
E00001279,63.8,5.7,30.5
E00001280,51.2,5.2,43.7
E00001281,50.1,5,44.9
E00001282,63.5,5.4,31.1
E00001283,59.1,5,35.9
E00001284,61.1,4.7,34.1
E00001285,56.4,1.8,41.8
E00001286,61.1,5.3,33.6
E00001288,65.9,5.3,28.8
E00001289,54.2,3.1,42.7
E00001290,65.3,3.7,31
E00001291,57.5,5.7,36.8
E00001292,57.1,2.4,40.6
E00001293,55.8,4.4,39.9
E00001294,63.4,5.2,31.4
E00001352,71.3,3.4,25.3
E00001358,66.3,3.6,30.1
E00001359,51,4.8,44.3
E00001360,62.3,1.7,36
E00001362,65.8,1,33.2
E00001363,62.1,3.9,34
E00001364,59.7,2.2,38.1
E00001365,53,3.5,43.6
E00001366,61.7,4.3,33.9
E00001446,65.7,2.5,31.8
E00001447,70.5,4.2,25.3
E00001448,71,2.5,26.4
E00001449,63,5.3,31.7
E00001450,53.8,3.2,43
E00001451,57.3,3.8,38.9
E00001452,78.2,1.4,20.4
E00001453,63.4,4.3,32.3
E00001454,53.9,5.2,40.8
E00001455,77.5,5.2,17.3
E00001456,63.2,3.1,33.7
E00001457,64.8,4.6,30.6
E00001458,66.3,8.7,25
E00001459,69.4,3.5,27.1
E00001460,70.2,2.3,27.4
E00001461,59.3,3.3,37.4
E00001462,59.9,1.4,38.7
E00001463,58.9,5.6,35.5
E00001464,67.7,3.5,28.8
E00001465,69.6,2.4,28
E00001466,70.4,5.8,23.8
E00001467,68.4,5.1,26.5
E00001468,64.7,6.1,29.2
E00001469,55.5,5.5,39
E00001470,58.2,4.5,37.3
E00001471,62,6.6,31.5
E00001472,63.4,0.4,36.2
E00001474,72.7,3.1,24.1
E00001475,66.3,5.1,28.6
E00001476,51.1,4.2,44.7
E00001477,55.9,4.7,39.4
E00001478,51.7,5.5,42.8
E00001479,48.1,3.3,48.6
E00001480,62.4,4.4,33.2
E00001481,62.3,4.7,33
E00001482,59.4,4.1,36.4
E00001483,59.6,2.1,38.3
E00001484,56.7,5.9,37.4
E00001485,65.5,5.1,29.4
E00001486,71,5.2,23.8
E00001487,61.6,3.8,34.6
E00001488,57.3,2.7,40
E00001489,56.8,5.2,38
E00001490,61.3,1.5,37.2
E00001491,68.7,5,26.3
E00001492,76.7,4.7,18.7
E00001493,73.8,5,21.2
E00001494,59.7,6.4,33.9
E00001495,62.1,5.6,32.3
E00001496,56,3.3,40.7
E00001497,61,5.7,33.3
E00001498,57.1,3.5,39.4
E00001499,58.7,3.5,37.8
E00001500,66.7,4.9,28.5
E00001503,60.9,2.3,36.8
E00001504,45.9,3.9,50.2
E00001505,60.8,4.3,34.9
E00001506,54,7.7,38.3
E00001507,73.3,3,23.7
E00001508,59.1,4.3,36.6
E00001509,65.3,6.2,28.5
E00001511,61.1,4.8,34.1
E00001512,50.4,15.5,34.1
E00001514,69.5,4.9,25.6
E00001516,61.6,4.1,34.3
E00001517,55.6,4.9,39.6
E00001518,52.8,2.9,44.3
E00001519,58.4,3.5,38.2
E00001520,60.5,4.7,34.8
E00001521,61.3,6.4,32.4
E00001522,72.5,4.9,22.7
E00001523,62.6,5.1,32.3
E00001524,52.4,3.1,44.4
E00001525,60.1,6.2,33.7
E00001526,57.4,3.6,39
E00001527,70.3,1.8,27.8
E00001528,66.7,3.8,29.5
E00001529,48.1,6.1,45.8
E00001530,63.3,6.2,30.5
E00001531,61.4,1,37.6
E00001534,61,4.2,34.8
E00001535,61,6.1,32.9
E00001536,68.3,3.8,27.9
E00001537,53.8,6.5,39.7
E00001538,65.6,6.3,28.1
E00001539,58.6,7.2,34.2
E00001541,60.2,4.2,35.5
E00001542,67.1,1.9,31
E00001554,59.2,2.7,38.1
E00001558,51.9,3.4,44.7
E00001560,63.7,3.7,32.7
E00001561,53.9,5.2,40.9
E00001563,66.3,3.3,30.5
E00001564,55.1,3.8,41.1
E00001565,64.1,6.3,29.7
E00001566,66.7,5.1,28.2
E00001567,64.7,4.1,31.2
E00001568,65.2,5.4,29.3
E00001570,60.2,4.8,34.9
E00001579,67.6,5.7,26.6
E00001581,48.1,11.5,40.4
E00002373,54.1,4.1,41.8
E00002426,50.8,3.9,45.3
E00002427,53,7,39.9
E00002428,46.5,4.7,48.7
E00002429,52.1,9.4,38.5
E00002430,46.7,6.7,46.7
E00002431,50.2,6.1,43.7
E00002432,43.2,4.9,51.9
E00002433,49.5,4.6,45.9
E00002434,45.6,9.6,44.8
E00002435,41.5,5.9,52.6
E00002436,40.4,4.9,54.7
E00002437,50.8,5.1,44.1
E00002438,61.6,2.2,36.2
E00002439,53.8,5.6,40.6
E00002441,55.7,4.9,39.4
E00002442,53,5.3,41.6
E00002444,49.6,4,46.4
E00002488,48.5,10.4,41.1
E00002496,58,4,37.9
E00002497,67.3,2.9,29.8
E00002499,58.9,5.2,35.9
E00002501,59,2.7,38.3
E00002502,60.3,5.6,34.1
E00002504,63.8,4.8,31.4
E00002505,60.3,2.6,37.1
E00002506,64.6,8.4,27
E00002509,60,3.6,36.4
E00002511,61.4,3.6,35.1
E00002513,55.5,3.6,40.9
E00002514,50.3,2.5,47.3
E00002520,61.6,4.4,33.9
E00002524,55.9,4.2,39.9
E00002526,58.6,4,37.4
E00002528,54.8,6.8,38.4
E00002529,63.2,4.9,32
E00002530,47.9,5.5,46.6
E00002866,49.3,8.8,42
E00002874,57.5,4.4,38.1
E00002875,57.9,5.8,36.2
E00003001,60.2,2.9,36.9
E00003002,55.1,2.5,42.4
E00003004,54.8,4.6,40.5
E00003005,56.6,7.2,36.2
E00003006,69.3,2.3,28.4
E00003007,56.1,4.6,39.3
E00003010,58.8,6.3,34.8
E00003011,47,4.5,48.5
E00003014,55.8,3.6,40.7
E00003015,64.9,3.5,31.6
E00003016,59.9,5.5,34.6
E00003017,46.7,4.1,49.2
E00003018,65.9,5.7,28.4
E00003019,62.8,5.6,31.6
E00003020,38.4,6.1,55.5
E00003021,57.9,8.1,33.9
E00003034,69.1,2.5,28.3
E00003035,48.5,7.4,44.1
E00003036,64.5,4.5,31
E00003037,55.8,2.2,41.9
E00003038,57.9,2,40.1
E00003039,58.1,4.5,37.3
E00004403,54.4,1.7,43.9
E00174896,66.4,4.3,29.4
E00174898,57.9,6.9,35.2
E00174899,65.6,4.2,30.2
E00174903,66.1,4.5,29.4
E00174906,50.8,3.8,45.4
E00174908,57.8,6.2,36
E00174910,72.8,8.6,18.6
E00174912,56.8,5,38.2
E00174913,70.7,8.8,20.5
E00174915,70.5,4.6,24.9
E00174916,61.8,9.9,28.2
E00174918,52,14.7,33.3
E00174919,60.6,7.5,31.8
E00174921,72.3,6.8,20.8
E00178723,66.9,3.8,29.3
E00178724,65.8,4.1,30
E00178727,59.7,4.3,35.9
E00178733,63,7.3,29.7
E00178734,57.7,7.4,34.9
E00178735,76.5,2.9,20.6
E00178740,74.4,1.4,24.2
E00178741,59.8,6.8,33.3
E00178743,77.5,4.3,18.2
E00178745,66.4,8.8,24.8
E00178749,74,2.3,23.7
E00178751,71,5.2,23.8
E00178754,59.6,5.1,35.3
E00178757,76.2,4.1,19.7
E00178758,38,8.5,53.5
E00178761,83.2,4,12.8
E00178765,66.1,5.7,28.3
E00178767,73.3,5.6,21.1
E00178769,59,5.5,35.5
E00178774,84.5,2.4,13.1
E00178775,49,5,46
E00178777,58.3,8.1,33.6
E00178780,70.8,3.9,25.2
E00178782,61.2,3.9,35
E00178783,69.8,5.8,24.4
E00178784,87.5,1.1,11.4
E00178785,75.7,2.2,22.1
E00178786,78.9,9.5,11.6
E00178787,69.4,5.1,25.5
E00178791,89.6,3,7.3
E00178792,60.3,4.1,35.5
E00178796,60.1,7,32.8
E00178797,69.7,2.9,27.3
E00178799,56.5,8.1,35.4
E00178800,49.6,5.5,44.9
E00178803,53.6,4.1,42.3
E00178806,44.8,9.6,45.6
E00178809,67.4,5.4,27.2
E00178810,72.6,8,19.5
E00178811,62.7,5.9,31.4
E00178812,57.3,5.7,37
E00178814,59.9,3.6,36.5
E00178815,32.1,19.1,48.9
E00178820,56.2,4.3,39.5
E00178821,62.7,5.4,32
E00178823,74.3,5.3,20.4
E00178824,65.3,8.5,26.1
E00178825,67.8,5.5,26.7
E00178826,59.8,7.9,32.3
E00178827,68.8,10.7,20.5
E00178828,55.7,6.4,37.8
E00178829,83.2,4.2,12.6
E00178830,41.5,6.3,52.2
E00178832,52.5,12.5,35
E00178833,71.4,2.8,25.8
E00178834,74.6,10.2,15.3
E00178836,81,2.8,16.2
E00178837,65.5,8.9,25.6
E00178838,62.9,5.3,31.8
E00178839,74.2,4.1,21.7
E00178841,66.9,6,27.1
E00178842,85.2,3.3,11.5
E00178844,73.1,5,21.9
E00178845,70.3,5.3,24.4
E00178846,45.1,11.3,43.6
E00178847,64.8,2.1,33.2
E00178849,70.6,3.7,25.7
E00178854,57.5,5.5,37
E00178857,78.5,4.8,16.7
E00178860,58.1,9.5,32.4
E00178863,89.2,2.8,8
E00178864,85.2,3.1,11.7
E00178865,48.5,11.8,39.7
